FILE_VERSION	2.0.0
NO_OF_FRAMES	1000
NO_OF_CAMERAS	2
NO_OF_MARKERS	1
FREQUENCY	100
DESCRIPTION	--
TIME_STAMP	2025-10-16, 12:02:55.618	114975.13777180
DATA_INCLUDED	3D
MARKER_NAMES	New 0000
TRAJECTORY_TYPES	Measured
106.857	78.215	110.295
106.860	78.351	110.329
106.905	78.454	110.361
106.956	78.604	110.422
107.011	78.574	110.423
107.068	78.583	110.415
107.147	78.545	110.433
107.174	78.439	110.414
107.300	78.351	110.382
107.371	78.152	110.339
107.475	77.913	110.299
107.560	77.641	110.268
107.714	77.407	110.351
107.797	76.980	110.312
107.920	76.681	110.276
108.047	76.151	110.228
108.166	75.741	110.307
108.245	75.286	110.459
108.260	74.722	110.402
108.307	74.077	110.435
108.415	73.559	110.383
108.436	72.753	110.275
108.571	72.048	110.300
108.458	71.377	110.334
108.440	70.603	110.179
108.473	69.671	110.150
108.509	68.846	110.008
108.505	68.006	109.914
108.359	67.126	110.022
108.389	66.160	109.902
108.381	65.181	109.867
108.299	64.147	109.778
108.193	63.104	109.887
108.261	62.126	109.893
108.106	61.027	109.783
107.910	59.943	109.842
107.890	58.752	109.669
107.834	57.624	109.659
107.767	56.618	109.720
107.800	55.435	109.593
107.673	54.209	109.513
107.491	52.913	109.478
107.403	51.694	109.370
107.353	50.499	109.239
107.305	49.263	109.342
107.404	48.157	109.340
107.372	46.921	109.221
107.403	45.745	109.340
107.329	44.415	109.299
107.385	43.194	109.428
107.436	42.065	109.350
107.537	40.725	109.340
107.428	39.573	109.411
107.555	38.430	109.339
107.610	37.062	109.279
107.577	35.919	109.256
107.646	34.568	109.193
107.809	33.494	109.113
107.906	32.316	109.216
107.866	31.106	109.138
107.943	29.908	109.082
108.059	28.839	109.254
108.131	27.722	109.148
108.203	26.600	109.317
108.297	25.529	109.310
108.367	24.453	109.267
108.459	23.448	109.456
108.508	22.452	109.348
108.583	21.490	109.382
108.547	20.479	109.423
108.698	19.627	109.434
108.745	18.802	109.332
108.710	17.747	109.306
108.716	17.016	109.378
108.678	16.195	109.296
108.808	15.381	109.341
108.712	14.607	109.258
108.652	14.023	109.460
108.744	13.446	109.430
108.597	12.585	109.337
108.526	12.001	109.432
108.419	11.506	109.549
108.257	10.897	109.479
108.291	10.354	109.505
108.130	9.889	109.465
108.051	9.509	109.399
108.030	9.206	109.322
107.956	8.874	109.270
107.761	8.500	109.203
107.556	8.159	109.106
107.425	7.979	109.162
107.411	7.886	109.175
107.381	7.837	109.190
107.282	7.817	109.207
107.194	7.818	109.164
107.082	7.709	109.151
107.049	7.866	109.178
106.988	7.886	109.158
106.947	8.008	109.141
106.886	8.374	109.077
106.864	8.647	109.076
106.916	8.952	109.100
107.006	9.327	109.128
106.924	9.676	109.072
106.979	10.093	108.905
107.098	10.584	108.923
107.076	11.032	108.878
107.128	11.619	108.893
107.179	12.206	108.940
107.267	12.877	109.009
107.330	13.497	108.859
107.444	14.246	108.922
107.527	14.989	108.990
107.592	15.754	108.984
107.673	16.739	109.121
107.733	17.366	108.896
107.819	18.220	108.967
107.795	19.231	108.978
108.001	20.116	108.870
107.979	20.988	108.811
107.966	22.092	108.918
108.113	22.978	108.760
108.146	24.056	108.750
108.107	25.133	108.881
108.108	26.082	108.704
108.173	27.237	108.811
108.156	28.489	108.879
108.152	29.469	108.831
108.095	30.695	108.873
107.967	31.861	108.979
107.954	32.944	108.846
107.965	34.309	108.840
107.816	35.506	108.950
107.844	36.635	108.823
107.765	37.854	108.810
107.708	38.958	108.796
107.584	40.281	108.788
107.437	41.585	108.815
