FILE_VERSION	2.0.0
NO_OF_FRAMES	1000
NO_OF_CAMERAS	2
NO_OF_MARKERS	1
FREQUENCY	100
DESCRIPTION	--
TIME_STAMP	2025-10-16, 12:01:51.622	114911.14125980
DATA_INCLUDED	3D
MARKER_NAMES	New 0000
TRAJECTORY_TYPES	Measured
107.493	-150.343	128.442
107.483	-143.070	126.946
107.620	-135.819	125.376
107.633	-128.194	124.010
107.739	-120.566	122.512
107.816	-112.635	121.115
107.804	-104.397	119.832
107.758	-96.313	118.540
107.866	-87.975	117.324
107.822	-79.150	116.171
107.920	-70.409	115.051
107.977	-61.673	113.967
107.970	-52.442	113.059
108.079	-43.267	112.184
107.961	-33.937	111.517
108.041	-24.674	110.817
107.953	-15.082	110.345
108.142	-5.594	109.781
107.959	4.006	109.465
107.836	13.591	109.250
107.861	23.228	108.990
107.842	32.941	108.962
107.742	42.696	109.213
107.789	52.385	109.374
107.892	62.130	109.810
107.911	71.758	110.195
107.877	81.515	110.777
107.806	91.102	111.592
107.830	100.532	112.183
107.793	109.987	113.100
107.887	119.421	114.171
107.847	128.595	115.249
107.852	137.789	116.427
107.856	146.740	117.705
107.894	155.740	119.039
107.812	164.396	120.468
107.797	172.869	121.910
107.900	181.263	123.433
107.895	189.573	125.072
107.916	197.460	126.719
107.965	205.316	128.374
107.974	212.945	130.084
108.112	220.269	131.854
108.091	227.458	133.584
108.063	234.393	135.354
108.162	240.981	137.057
108.186	247.512	138.884
108.236	253.597	140.583
108.234	259.514	142.289
108.234	265.152	144.016
108.316	270.607	145.651
108.369	275.584	147.195
108.408	280.357	148.740
108.396	284.834	150.205
108.414	289.047	151.606
108.463	293.031	152.966
108.502	296.695	154.208
108.501	300.111	155.406
108.463	303.068	156.487
108.539	305.883	157.491
108.525	308.241	158.344
108.563	310.404	159.098
108.525	312.180	159.754
108.562	313.700	160.298
108.584	314.910	160.764
108.536	315.760	161.058
108.545	316.312	161.266
108.527	316.592	161.369
108.521	316.521	161.341
108.513	316.158	161.199
108.500	315.475	160.944
108.522	314.513	160.592
108.427	313.155	160.110
108.435	311.593	159.507
108.495	309.691	158.821
108.395	307.450	158.014
108.441	304.977	157.126
108.393	302.068	156.086
108.455	298.887	154.932
108.377	295.454	153.700
108.342	291.699	152.402
108.279	287.692	151.076
108.308	283.417	149.669
108.332	278.874	148.184
108.260	273.896	146.583
108.179	268.770	145.031
108.154	263.372	143.350
108.180	257.632	141.681
108.198	251.632	139.950
108.080	245.417	138.232
108.070	238.850	136.426
108.037	232.238	134.730
108.093	225.286	132.968
108.089	217.965	131.149
108.060	210.561	129.457
108.035	202.983	127.713
108.015	195.198	126.080
107.975	187.074	124.452
107.965	178.855	122.843
107.866	170.462	121.338
107.912	161.852	119.931
107.839	153.065	118.445
107.805	144.283	117.159
107.761	135.208	115.981
107.793	126.140	114.815
107.822	116.850	113.753
107.707	107.471	112.832
107.737	98.078	111.921
107.731	88.545	111.103
107.791	78.866	110.430
107.834	69.370	110.022
107.837	59.700	109.462
107.745	49.996	109.151
107.747	40.330	108.940
107.659	30.665	108.882
107.666	21.000	108.890
107.650	11.460	109.096
107.797	1.810	109.353
107.728	-7.424	109.788
107.601	-17.091	110.135
107.495	-26.561	110.848
107.689	-35.662	111.446
107.517	-44.862	112.247
107.628	-54.029	113.017
107.539	-62.935	114.041
107.602	-71.729	115.043
107.518	-80.354	116.156
107.565	-88.659	117.355
107.678	-96.857	118.582
107.579	-105.035	119.876
107.397	-112.981	121.275
107.513	-120.819	122.541
107.437	-128.288	124.026
107.392	-135.811	125.381
107.304	-142.897	126.938
107.385	-149.805	128.343
107.330	-156.534	129.848
107.197	-162.739	131.387
107.158	-169.004	132.776
107.148	-174.933	134.266
107.107	-180.588	135.740
107.058	-185.827	137.198
107.056	-191.047	138.422
107.026	-195.761	139.859
107.040	-200.350	141.070
106.992	-204.351	142.378
106.996	-208.303	143.523
106.950	-211.942	144.496
106.891	-215.227	145.534
107.052	-218.253	146.441
106.943	-220.895	147.377
106.873	-223.362	147.949
106.930	-225.412	148.646
106.898	-227.128	149.173
106.882	-228.513	149.639
106.885	-229.583	150.062
106.875	-230.502	150.229
106.921	-230.962	150.416
106.848	-230.951	150.530
106.942	-230.940	150.414
106.923	-230.401	150.194
106.941	-229.476	150.065
106.932	-228.414	149.614
106.961	-226.994	149.148
107.035	-225.207	148.639
106.983	-223.130	147.930
106.933	-220.665	147.180
107.148	-218.025	146.446
107.092	-215.080	145.361
107.064	-211.711	144.463
107.065	-208.022	143.368
107.209	-204.178	142.247
107.167	-200.024	141.051
107.145	-195.445	139.834
107.224	-190.669	138.366
107.246	-185.637	137.038
107.209	-180.207	135.705
107.237	-174.541	134.222
107.213	-168.612	132.757
107.276	-162.370	131.339
107.411	-156.158	129.791
107.409	-149.507	128.264
107.361	-142.475	126.925
107.449	-135.440	125.352
107.446	-128.004	123.982
107.544	-120.506	122.505
107.525	-112.545	121.255
107.594	-104.650	119.839
107.680	-96.593	118.567
107.550	-88.391	117.424
107.722	-79.822	116.222
107.691	-71.329	115.147
107.805	-62.330	114.138
107.819	-53.703	113.099
107.746	-44.596	112.398
107.795	-35.552	111.508
107.742	-26.251	110.943
107.760	-16.983	110.315
107.931	-7.308	109.908
107.665	1.850	109.513
107.789	11.466	109.215
107.950	21.061	109.157
107.783	30.485	109.051
107.851	40.110	109.149
107.873	49.603	109.291
107.849	59.333	109.683
107.869	68.820	110.008
107.857	78.404	110.589
107.917	87.866	111.174
107.969	97.244	112.002
107.988	106.737	112.820
107.968	115.968	113.755
108.058	125.110	114.766
108.000	134.082	115.914
107.967	142.984	117.148
108.028	151.804	118.449
108.126	160.624	119.821
108.110	168.954	121.246
108.051	177.326	122.777
108.097	185.436	124.280
108.189	193.436	125.883
108.146	201.169	127.462
108.150	208.658	129.189
108.172	216.079	130.823
108.199	223.258	132.580
108.206	229.998	134.255
108.207	236.766	135.983
108.262	243.138	137.677
108.207	249.343	139.409
108.233	255.221	141.047
108.231	260.848	142.692
108.182	266.273	144.321
108.222	271.393	145.893
108.284	276.162	147.397
108.272	280.669	148.828
108.237	284.897	150.198
108.264	288.858	151.507
108.280	292.526	152.727
108.298	295.954	153.888
108.281	299.131	155.056
108.254	301.838	156.002
108.304	304.389	156.918
108.284	306.498	157.660
108.280	308.365	158.370
108.342	309.994	158.939
108.313	311.194	159.352
108.331	312.117	159.697
108.302	312.771	159.942
108.322	313.076	160.052
108.336	313.099	160.070
108.346	312.842	159.976
108.379	312.238	159.745
108.427	311.338	159.407
108.472	310.204	159.001
108.453	308.666	158.431
108.432	306.825	157.767
108.496	304.738	157.010
108.459	302.269	156.146
108.470	299.585	155.192
108.521	296.453	154.094
108.507	293.128	152.947
108.500	289.482	151.705
108.478	285.587	150.385
108.537	281.509	149.008
108.461	276.976	147.554
108.475	272.181	146.062
108.370	267.225	144.546
108.376	261.858	142.947
108.393	256.316	141.301
108.397	250.527	139.634
108.305	244.393	137.925
108.270	238.000	136.188
108.245	231.446	134.502
108.260	224.694	132.804
108.212	217.599	131.068
108.142	210.269	129.391
108.157	202.779	127.689
108.109	195.075	126.053
108.018	187.163	124.462
107.920	179.095	122.865
107.848	170.850	121.367
107.841	162.446	119.951
107.799	153.848	118.548
107.719	145.066	117.241
107.623	136.186	115.959
107.626	127.212	114.846
107.702	118.187	113.803
107.598	108.918	112.799
107.585	99.600	111.912
107.516	90.330	111.351
107.617	80.907	110.595
107.587	71.329	110.029
107.568	61.911	109.603
107.458	52.322	109.301
107.548	42.798	108.985
107.511	33.319	108.927
107.589	23.690	108.895
107.428	14.091	108.927
107.403	4.708	109.167
107.435	-4.638	109.599
107.470	-13.990	110.056
107.585	-23.222	110.557
107.614	-32.318	111.228
107.598	-41.567	111.823
107.641	-50.460	112.777
107.740	-59.344	113.594
107.747	-67.920	114.669
107.773	-76.615	115.665
107.634	-85.151	116.761
107.692	-93.015	118.127
107.817	-101.369	119.320
107.701	-109.111	120.645
107.750	-116.961	121.927
