FILE_VERSION	2.0.0
NO_OF_FRAMES	1000
NO_OF_CAMERAS	2
NO_OF_MARKERS	1
FREQUENCY	100
DESCRIPTION	--
TIME_STAMP	2025-10-16, 17:58:21.725	136301.21017520
DATA_INCLUDED	3D
MARKER_NAMES	New 0000
TRAJECTORY_TYPES	Measured
89.509	87.228	251.435
89.849	81.402	251.351
85.659	71.774	249.739
85.620	65.547	249.364
85.535	59.276	249.270
89.780	56.667	250.433
90.926	51.327	250.796
90.916	45.093	250.658
89.614	37.723	250.167
89.602	31.437	250.274
90.810	26.329	250.956
90.819	20.075	251.110
89.724	12.903	251.010
85.237	2.791	249.824
89.543	0.448	251.501
90.779	-4.486	252.456
90.719	-10.445	252.879
90.691	-16.388	253.321
90.713	-22.218	253.864
90.735	-27.904	254.453
90.680	-33.433	255.151
90.657	-38.936	255.759
90.608	-44.311	256.422
90.633	-49.585	257.118
90.638	-54.607	257.900
90.597	-59.538	258.696
89.504	-65.093	259.316
84.654	-74.479	258.432
84.491	-78.850	259.329
84.551	-83.396	260.079
84.464	-87.348	260.949
84.436	-91.531	261.835
89.309	-90.437	264.079
89.288	-94.101	264.751
84.300	-102.432	263.971
84.293	-105.676	264.636
84.275	-108.682	265.359
89.322	-106.668	267.528
88.651	-107.791	268.420
83.504	-115.201	267.477
88.422	-112.539	269.480
88.688	-114.418	270.050
88.453	-116.443	270.336
88.252	-118.229	270.689
88.227	-119.645	271.064
88.004	-120.977	271.145
88.181	-121.820	271.523
88.185	-122.525	271.718
87.935	-123.230	271.815
87.907	-123.498	271.957
87.895	-123.567	271.967
87.926	-123.384	271.959
87.873	-123.124	271.670
87.869	-122.492	271.689
87.782	-121.705	271.418
87.817	-120.613	271.247
87.881	-119.219	270.890
87.872	-117.810	270.543
87.843	-116.011	270.167
87.740	-114.139	269.632
87.773	-111.983	269.232
87.746	-109.687	268.559
87.806	-107.049	268.114
87.816	-104.281	267.443
87.789	-101.380	266.876
87.785	-98.230	266.147
87.776	-94.862	265.505
87.757	-91.295	264.706
87.806	-87.617	263.932
87.821	-83.685	263.250
87.782	-79.596	262.453
87.759	-75.369	261.642
87.810	-70.858	260.911
87.817	-66.300	260.214
87.854	-61.564	259.409
87.849	-56.636	258.628
87.843	-51.622	257.866
87.852	-46.445	257.201
87.883	-41.133	256.521
87.926	-35.728	255.907
87.961	-30.233	255.247
87.967	-24.613	254.647
87.903	-18.902	254.058
87.944	-13.128	253.552
87.987	-7.240	253.066
87.991	-1.245	252.669
88.003	4.769	252.328
88.040	10.801	251.989
88.061	16.939	251.717
88.086	23.135	251.501
88.093	29.327	251.395
88.097	35.554	251.341
