FILE_VERSION	2.0.0
NO_OF_FRAMES	1000
NO_OF_CAMERAS	2
NO_OF_MARKERS	1
FREQUENCY	100
DESCRIPTION	--
TIME_STAMP	2025-10-16, 11:59:57.954	114797.47350720
DATA_INCLUDED	3D
MARKER_NAMES	New 0000
TRAJECTORY_TYPES	Measured
107.871	129.106	115.268
107.833	131.041	115.576
107.802	132.738	115.696
107.819	134.368	115.910
107.733	135.882	116.224
107.718	137.278	116.312
107.729	138.645	116.511
107.628	139.820	116.696
107.650	140.799	116.897
107.575	141.678	116.958
107.646	142.598	117.048
107.663	143.325	117.157
107.698	144.069	117.266
107.583	144.323	117.266
107.695	144.735	117.357
107.734	144.939	117.422
107.722	145.007	117.429
107.752	144.973	117.416
107.746	144.803	117.374
107.763	144.531	117.311
107.767	144.208	117.274
107.919	143.645	117.194
107.918	142.939	117.171
107.880	142.154	116.970
107.915	141.302	116.865
108.010	140.334	116.804
108.021	139.158	116.599
108.067	137.917	116.456
108.090	136.565	116.274
108.134	135.136	116.088
108.117	133.508	115.733
108.148	131.866	115.549
108.237	130.018	115.416
108.226	128.135	115.140
108.263	126.154	114.941
108.263	124.076	114.606
108.289	121.852	114.428
108.284	119.616	114.111
108.271	117.201	113.922
108.187	114.650	113.612
108.124	112.074	113.418
108.125	109.301	112.996
108.061	106.692	112.805
107.991	103.815	112.583
107.999	100.832	112.214
107.984	97.978	111.969
107.869	94.928	111.817
107.890	91.842	111.404
107.822	88.706	111.150
107.787	85.473	110.963
107.757	82.239	110.745
107.724	78.794	110.449
107.750	75.483	110.312
107.622	72.080	110.047
107.637	68.789	109.928
107.529	65.313	109.842
107.577	61.850	109.721
107.531	58.343	109.513
107.490	54.772	109.384
107.440	51.226	109.311
107.426	47.695	109.196
107.395	44.191	109.022
107.369	40.613	108.959
107.390	37.137	108.928
107.368	33.513	108.915
107.418	29.986	108.889
107.410	26.432	108.884
107.420	22.995	108.861
107.331	19.695	109.050
107.403	16.274	109.086
107.428	12.841	109.114
107.457	9.451	109.206
107.488	6.053	109.257
107.461	2.749	109.231
107.651	-0.373	109.447
107.772	-3.465	109.580
107.718	-6.576	109.710
107.655	-9.720	109.784
107.640	-12.541	110.089
107.704	-15.380	110.178
107.687	-18.371	110.373
107.852	-20.961	110.596
107.822	-23.689	110.682
107.827	-26.306	110.968
107.799	-28.801	111.090
107.982	-31.242	111.156
107.952	-33.601	111.323
107.883	-35.848	111.489
107.919	-37.909	111.659
107.767	-40.026	111.926
107.788	-41.849	112.090
107.950	-43.705	112.146
107.820	-45.420	112.357
107.771	-47.197	112.426
107.685	-48.721	112.543
107.671	-49.924	112.725
107.855	-51.151	112.792
107.633	-52.313	113.019
107.653	-53.478	113.057
107.602	-54.516	113.069
107.639	-55.123	113.316
107.565	-55.865	113.291
107.476	-56.611	113.317
107.560	-56.890	113.447
107.338	-57.247	113.514
107.355	-57.408	113.491
107.294	-57.527	113.520
107.328	-57.411	113.522
107.254	-57.167	113.508
107.333	-57.072	113.389
107.322	-56.699	113.259
107.296	-56.070	113.258
107.306	-55.374	113.253
107.409	-54.569	113.103
107.397	-53.627	113.050
107.321	-52.566	113.009
107.389	-51.532	112.887
107.433	-50.195	112.818
107.495	-48.884	112.607
107.509	-47.231	112.585
107.521	-45.733	112.369
107.625	-44.071	112.183
107.546	-42.165	112.146
107.588	-40.376	111.969
107.570	-38.491	111.709
107.686	-36.288	111.557
107.692	-33.947	111.483
107.773	-31.713	111.335
107.769	-29.381	111.145
107.822	-26.860	110.936
107.853	-24.335	110.827
107.899	-21.592	110.665
107.999	-18.830	110.510
107.893	-16.149	110.324
108.052	-13.082	110.175
108.037	-10.141	110.066
108.171	-7.018	109.955
108.145	-4.005	109.812
107.996	-1.166	109.728
108.049	1.942	109.475
108.020	5.384	109.389
107.915	8.584	109.236
107.919	11.866	109.251
107.990	15.302	109.224
107.998	18.839	109.168
107.910	22.099	109.137
107.854	25.436	109.107
107.754	28.864	109.048
107.732	32.396	109.149
107.672	35.964	109.162
107.747	39.528	109.229
107.739	43.031	109.154
107.725	46.452	109.192
107.725	49.937	109.366
107.719	53.442	109.435
107.670	56.943	109.513
107.620	60.406	109.578
107.654	63.852	109.806
107.552	67.371	110.028
107.588	70.806	110.161
107.539	74.064	110.367
107.580	77.410	110.504
107.573	80.679	110.623
107.595	83.879	110.889
107.587	87.151	111.237
107.601	90.130	111.429
107.664	93.176	111.669
107.703	96.239	111.830
107.704	99.182	112.227
107.682	101.974	112.341
107.824	104.781	112.555
107.767	107.552	112.940
107.825	110.140	113.121
107.879	112.682	113.529
107.933	115.235	113.622
