FILE_VERSION	2.0.0
NO_OF_FRAMES	1000
NO_OF_CAMERAS	2
NO_OF_MARKERS	1
FREQUENCY	100
DESCRIPTION	--
TIME_STAMP	2025-10-16, 18:09:56.253	136995.73838830
DATA_INCLUDED	3D
MARKER_NAMES	New 0000
TRAJECTORY_TYPES	Measured
91.297	142.602	256.240
91.234	133.380	254.958
91.183	123.988	253.725
91.133	114.445	252.544
91.094	104.795	251.538
91.102	94.996	250.782
91.106	85.141	249.951
91.030	75.235	249.432
91.079	65.217	248.867
91.053	55.277	248.589
91.059	45.279	248.379
91.039	35.242	248.459
90.993	25.336	248.554
90.916	15.393	248.666
90.959	5.466	249.081
91.021	-4.397	249.720
91.011	-14.202	250.357
91.023	-23.945	251.245
90.909	-33.649	252.176
90.843	-43.258	253.123
90.940	-52.730	254.400
91.048	-62.081	255.673
91.115	-71.259	257.160
90.961	-80.253	258.649
90.781	-89.091	260.155
90.819	-97.624	261.914
90.889	-106.004	263.598
90.934	-114.149	265.311
91.032	-121.906	267.126
90.814	-129.623	269.064
90.688	-137.003	270.944
90.667	-144.229	272.852
90.798	-151.139	274.818
90.916	-157.748	276.753
90.811	-164.182	278.701
90.799	-170.245	280.554
90.700	-176.107	282.502
90.917	-181.433	284.387
90.992	-186.681	286.232
90.998	-191.650	287.991
90.897	-196.359	289.531
90.508	-200.962	291.005
90.644	-204.791	292.523
90.745	-208.343	294.005
90.857	-211.612	295.356
90.837	-214.540	296.476
90.765	-217.171	297.492
90.722	-219.517	298.425
90.909	-221.307	299.204
90.913	-223.095	299.931
90.981	-224.450	300.469
90.949	-225.456	300.922
90.754	-226.253	301.188
90.776	-226.582	301.287
90.852	-226.643	301.313
90.870	-226.431	301.301
91.016	-225.684	301.024
90.901	-224.771	300.671
90.873	-223.443	300.120
90.785	-221.854	299.381
90.957	-219.700	298.629
90.944	-217.428	297.646
90.967	-214.562	296.586
90.808	-211.757	295.320
90.835	-208.196	294.153
90.825	-204.599	292.707
90.856	-200.593	291.261
90.812	-196.307	289.489
90.795	-191.675	287.883
90.675	-186.839	286.227
90.721	-181.574	284.494
90.661	-176.162	282.532
90.640	-170.349	280.746
90.621	-164.279	278.889
90.564	-157.909	277.010
90.498	-151.264	275.031
90.441	-144.343	273.165
90.473	-137.150	271.103
90.460	-129.670	269.216
90.414	-121.908	267.335
90.377	-113.923	265.481
90.334	-105.771	263.597
90.367	-97.373	261.881
90.408	-88.785	260.247
90.330	-80.062	258.669
90.358	-71.043	257.186
90.388	-61.992	255.845
90.403	-52.828	254.416
90.470	-43.489	253.352
90.546	-34.016	252.325
90.542	-24.457	251.318
90.573	-14.758	250.540
90.648	-4.949	249.786
90.683	4.909	249.249
90.744	14.839	248.793
90.792	24.841	248.487
90.831	34.793	248.464
90.966	44.841	248.510
90.984	54.804	248.594
91.029	64.749	248.870
91.063	74.613	249.393
91.134	84.446	249.874
91.119	94.058	250.703
91.197	103.697	251.550
91.219	113.168	252.472
91.284	122.509	253.531
91.305	131.757	254.742
91.284	140.801	256.039
91.307	149.748	257.401
91.327	158.521	259.020
91.377	167.126	260.522
91.447	175.548	262.257
91.557	183.795	263.923
91.628	191.807	265.592
91.678	199.560	267.513
91.627	207.059	269.297
91.579	214.306	271.200
91.619	221.280	273.039
91.707	227.997	274.909
91.735	234.390	276.778
91.762	240.510	278.663
91.691	246.371	280.446
91.649	251.900	282.276
91.906	257.898	282.749
92.023	262.898	284.544
91.875	266.887	287.349
