FILE_VERSION	2.0.0
NO_OF_FRAMES	1000
NO_OF_CAMERAS	2
NO_OF_MARKERS	1
FREQUENCY	100
DESCRIPTION	--
TIME_STAMP	2025-10-16, 18:33:11.113	138390.59800340
DATA_INCLUDED	3D
MARKER_NAMES	New 0000
TRAJECTORY_TYPES	Measured
111.097	-63.055	489.855
111.128	-61.071	489.359
111.141	-58.846	488.886
111.074	-56.417	488.367
111.079	-53.786	487.856
111.094	-50.960	487.277
111.071	-47.984	486.693
111.044	-44.826	486.111
111.068	-41.511	485.559
111.043	-38.039	484.927
111.033	-34.398	484.368
111.019	-30.681	483.776
111.037	-26.746	483.180
111.025	-22.696	482.610
110.977	-18.561	482.128
110.968	-14.242	481.701
110.996	-9.898	481.147
110.996	-5.420	480.687
110.947	-0.800	480.258
110.957	3.912	479.945
110.948	8.642	479.592
110.921	13.427	479.336
110.911	18.292	479.070
110.925	23.200	478.881
110.899	28.162	478.768
110.880	33.102	478.739
110.840	38.048	478.820
110.867	42.968	478.786
110.872	47.860	478.798
110.781	52.830	479.049
110.823	57.613	479.116
110.817	62.416	479.458
110.810	67.148	479.766
110.782	71.831	480.026
110.773	76.513	480.469
110.787	80.998	480.862
110.779	85.453	481.337
110.785	89.823	481.827
110.797	94.102	482.353
110.824	98.192	482.897
110.821	102.157	483.391
110.867	105.997	483.994
110.861	109.716	484.544
110.861	113.294	485.198
110.900	116.630	485.785
110.928	119.871	486.347
110.939	122.927	486.882
110.935	125.769	487.440
110.953	128.458	487.989
111.009	130.944	488.532
110.982	133.279	489.041
111.008	135.402	489.498
111.021	137.339	489.879
111.002	139.086	490.274
111.001	140.650	490.701
110.999	141.987	490.991
110.971	143.161	491.239
110.957	144.083	491.437
110.925	144.792	491.585
110.955	145.258	491.720
110.967	145.496	491.779
110.946	145.552	491.782
110.943	145.393	491.735
110.926	145.051	491.655
110.945	144.419	491.520
110.942	143.583	491.342
110.931	142.555	491.101
110.919	141.382	490.816
110.952	139.924	490.450
110.904	138.321	490.057
110.897	136.538	489.664
110.907	134.489	489.229
110.888	132.283	488.710
110.859	129.907	488.201
110.844	127.371	487.694
110.840	124.617	487.123
110.832	121.687	486.577
110.857	118.524	486.008
110.842	115.273	485.448
110.855	111.787	484.784
110.829	108.190	484.209
110.811	104.465	483.654
110.810	100.604	483.093
110.822	96.541	482.545
110.826	92.432	482.056
110.836	88.179	481.556
110.850	83.803	481.064
110.839	79.370	480.601
110.853	74.853	480.253
110.886	70.198	479.824
110.876	65.569	479.602
110.882	60.854	479.377
110.886	56.044	479.035
110.873	51.265	478.954
110.888	46.376	478.853
110.908	41.470	478.731
110.910	36.601	478.760
110.911	31.690	478.829
110.892	26.804	478.913
110.950	21.909	479.025
110.967	17.105	479.179
110.931	12.330	479.425
110.949	7.643	479.717
110.942	2.998	480.038
110.988	-1.591	480.459
110.934	-6.054	480.905
110.939	-10.401	481.374
110.946	-14.689	481.778
110.963	-18.856	482.228
110.978	-22.950	482.716
110.991	-26.880	483.302
110.971	-30.682	483.892
111.009	-34.341	484.452
110.992	-37.869	484.992
111.011	-41.189	485.580
111.024	-44.399	486.132
111.074	-47.445	486.696
111.063	-50.259	487.238
111.079	-52.948	487.739
111.067	-55.423	488.215
110.996	-57.697	488.691
110.980	-59.731	489.195
111.042	-61.603	489.609
111.039	-63.343	489.916
111.040	-64.784	490.287
111.064	-66.092	490.528
111.083	-67.110	490.842
111.133	-68.055	490.981
111.146	-68.688	491.176
111.164	-69.099	491.284
111.176	-69.301	491.356
111.168	-69.344	491.386
111.154	-69.145	491.358
111.207	-68.753	491.249
111.191	-68.158	491.012
111.148	-67.310	490.863
111.170	-66.306	490.592
111.196	-65.002	490.351
111.178	-63.578	489.998
111.149	-61.867	489.653
111.166	-60.022	489.185
111.179	-57.993	488.744
111.147	-55.764	488.286
111.139	-53.340	487.758
111.153	-50.709	487.236
111.125	-47.915	486.692
111.073	-44.972	486.146
111.086	-41.824	485.625
111.085	-38.538	485.042
111.050	-35.125	484.480
111.008	-31.490	483.952
111.004	-27.758	483.366
110.986	-23.913	482.772
110.997	-19.908	482.224
110.931	-15.749	481.738
110.924	-11.456	481.329
110.926	-7.116	480.862
110.905	-2.704	480.491
110.888	1.817	480.023
110.919	6.406	479.664
110.894	11.105	479.418
110.852	15.772	479.118
110.860	20.554	478.990
110.849	25.377	478.916
110.831	30.189	478.816
110.828	34.965	478.695
110.847	39.765	478.640
110.805	44.643	478.828
110.824	49.453	478.926
110.828	54.247	479.089
110.835	58.960	479.217
110.811	63.667	479.509
110.826	68.317	479.850
110.817	72.885	480.135
110.811	77.440	480.590
110.821	81.781	480.955
110.838	86.101	481.411
110.836	90.355	481.896
110.873	94.393	482.412
110.878	98.349	482.894
110.908	102.184	483.396
110.909	105.875	483.928
110.893	109.460	484.507
110.924	112.855	485.167
110.911	116.136	485.704
110.961	119.206	486.220
110.954	122.160	486.744
110.945	124.899	487.263
110.947	127.491	487.769
110.967	129.840	488.252
110.953	132.096	488.752
110.944	134.105	489.216
110.941	135.960	489.582
110.940	137.594	489.915
110.936	138.977	490.222
110.949	140.207	490.525
110.933	141.246	490.778
110.922	142.015	490.944
110.888	142.592	491.102
110.876	143.031	491.162
110.884	143.237	491.232
110.871	143.184	491.221
110.878	142.931	491.159
110.904	142.490	491.077
110.919	141.857	490.885
110.903	140.981	490.700
110.897	139.917	490.403
110.924	138.683	490.140
110.938	137.205	489.817
110.884	135.559	489.436
110.915	133.698	489.049
110.921	131.602	488.553
110.876	129.353	488.118
110.891	126.940	487.623
110.901	124.372	487.092
110.911	121.544	486.572
110.910	118.580	486.063
110.875	115.513	485.486
110.879	112.239	484.881
110.898	108.769	484.306
110.889	105.220	483.757
110.876	101.547	483.224
110.872	97.701	482.725
110.865	93.715	482.193
110.864	89.652	481.739
110.867	85.455	481.257
110.852	81.150	480.798
110.846	76.794	480.445
110.861	72.273	480.034
110.880	67.743	479.671
110.854	63.110	479.428
110.840	58.461	479.198
110.835	53.797	479.013
110.880	48.995	478.854
110.819	44.271	478.832
110.849	39.413	478.640
110.902	34.669	478.725
110.873	29.933	478.844
110.856	25.170	478.946
110.854	20.448	479.099
110.899	15.730	479.199
110.922	11.077	479.512
110.897	6.499	479.788
110.908	2.060	480.173
110.926	-2.436	480.530
110.911	-6.781	480.940
110.923	-11.023	481.407
110.938	-15.205	481.823
110.990	-19.272	482.265
110.986	-23.234	482.793
110.995	-26.981	483.386
110.997	-30.640	483.919
111.027	-34.150	484.462
111.041	-37.528	484.968
111.072	-40.713	485.534
111.054	-43.725	486.086
111.064	-46.612	486.581
111.086	-49.305	487.105
111.113	-51.862	487.618
111.075	-54.219	488.063
