FILE_VERSION	2.0.0
NO_OF_FRAMES	1000
NO_OF_CAMERAS	2
NO_OF_MARKERS	1
FREQUENCY	100
DESCRIPTION	--
TIME_STAMP	2025-10-16, 18:07:08.933	136828.41878660
DATA_INCLUDED	3D
MARKER_NAMES	New 0000
TRAJECTORY_TYPES	Measured
91.092	-6.688	249.716
91.138	-6.794	249.810
91.117	-6.896	249.837
91.115	-6.947	249.829
91.111	-6.935	249.826
91.109	-6.870	249.812
91.117	-6.776	249.813
91.124	-6.617	249.794
91.047	-6.460	249.688
90.992	-6.137	249.741
90.995	-5.784	249.679
90.992	-5.466	249.685
90.957	-4.940	249.757
90.944	-4.501	249.575
90.906	-3.886	249.584
90.950	-3.282	249.507
90.859	-2.521	249.496
90.841	-1.734	249.522
90.917	-0.886	249.407
90.855	-0.059	249.342
90.899	0.948	249.363
90.844	1.894	249.175
90.873	2.985	249.214
90.830	4.002	249.178
90.929	5.151	249.080
90.863	6.267	248.990
90.856	7.402	248.998
90.935	8.606	248.877
90.935	9.830	248.891
91.015	11.113	248.863
90.990	12.403	248.806
90.982	13.864	248.796
91.014	15.280	248.565
91.085	16.723	248.665
91.095	18.223	248.650
91.075	19.780	248.521
91.177	21.253	248.540
91.144	22.888	248.538
91.165	24.436	248.552
91.163	26.050	248.362
91.149	27.633	248.370
91.233	29.186	248.430
91.206	30.833	248.389
88.658	37.330	250.440
88.023	40.109	250.945
88.694	40.524	250.527
91.193	37.278	248.293
88.741	43.549	250.429
87.984	46.585	250.990
88.670	47.011	250.474
91.166	43.778	248.315
91.118	45.424	248.414
91.173	47.039	248.449
88.600	53.515	250.546
87.964	56.259	251.015
88.645	56.372	250.587
91.100	53.371	248.501
88.580	59.584	250.664
87.947	62.346	251.304
87.901	63.727	251.305
88.667	63.530	250.823
88.533	65.282	250.872
87.884	67.797	251.436
87.921	69.120	251.523
88.704	68.819	251.026
88.575	70.483	251.069
87.908	72.869	251.655
87.967	74.063	251.714
87.972	75.160	251.736
88.008	76.282	251.784
87.987	77.331	251.848
88.003	78.349	251.890
88.020	79.266	251.872
88.778	78.785	251.456
88.838	79.503	251.522
88.089	81.697	252.025
88.816	81.081	251.603
88.978	81.402	251.660
88.872	82.100	251.610
88.996	82.517	251.624
88.939	83.165	251.711
88.941	83.705	251.725
88.926	84.119	251.789
88.912	84.493	251.796
88.889	84.630	251.728
88.894	84.839	251.765
88.789	85.315	251.752
88.828	85.283	251.793
88.140	86.619	252.288
88.745	85.424	251.777
88.736	85.304	251.752
88.830	84.831	251.765
88.855	84.631	251.793
88.776	84.452	251.838
88.778	84.043	251.772
88.771	83.564	251.724
88.737	83.097	251.671
88.816	82.293	251.630
88.695	81.981	251.726
88.729	81.258	251.676
88.639	80.746	251.557
87.923	81.347	251.983
88.622	79.276	251.526
88.720	78.253	251.422
88.561	77.659	251.327
87.910	78.013	251.920
87.901	77.032	251.799
87.943	75.945	251.813
88.602	73.608	251.167
88.690	72.348	251.172
88.699	71.050	251.141
88.000	71.251	251.575
87.982	69.982	251.502
88.008	68.720	251.484
88.699	66.024	250.876
91.198	60.004	248.669
91.224	58.689	248.714
88.753	61.858	250.785
88.103	61.774	251.244
88.080	60.319	251.124
88.844	57.383	250.648
91.267	51.353	248.524
91.227	49.802	248.474
91.256	48.224	248.339
91.255	46.671	248.445
91.231	45.014	248.309
91.210	43.430	248.340
91.227	41.792	248.344
91.205	40.146	248.434
91.140	38.475	248.377
91.157	36.848	248.233
91.155	35.206	248.367
91.140	33.591	248.391
91.072	31.928	248.348
91.053	30.426	248.321
91.105	28.761	248.337
91.030	27.278	248.512
91.010	25.633	248.256
90.957	24.145	248.490
90.972	22.596	248.471
90.984	21.010	248.576
90.919	19.581	248.486
90.938	18.058	248.593
90.930	16.542	248.698
90.885	15.174	248.547
90.876	13.783	248.778
90.931	12.290	248.741
90.953	11.035	248.869
90.900	9.748	248.878
90.929	8.489	248.950
90.952	7.378	249.083
90.911	6.173	249.098
90.985	5.110	249.135
90.936	4.019	249.220
90.936	2.991	249.158
90.983	2.005	249.226
90.979	1.054	249.310
91.032	0.165	249.288
91.023	-0.641	249.362
91.046	-1.415	249.490
91.048	-2.221	249.539
91.040	-2.925	249.477
91.075	-3.512	249.558
91.097	-4.165	249.594
91.038	-4.630	249.689
91.086	-5.063	249.750
91.087	-5.474	249.707
91.061	-5.754	249.717
91.056	-5.985	249.697
91.038	-6.215	249.747
91.055	-6.399	249.698
91.038	-6.468	249.685
91.027	-6.496	249.683
91.013	-6.459	249.673
90.971	-6.321	249.708
90.934	-6.171	249.734
90.928	-5.933	249.666
90.929	-5.741	249.662
90.935	-5.448	249.680
90.914	-5.001	249.745
90.947	-4.623	249.661
90.865	-4.114	249.545
90.885	-3.558	249.509
90.896	-2.876	249.564
90.853	-2.284	249.485
90.865	-1.461	249.397
90.833	-0.634	249.327
90.877	0.113	249.347
90.920	1.089	249.378
90.890	2.004	249.202
90.937	3.082	249.225
90.875	4.049	249.212
90.907	5.142	249.002
90.945	6.262	249.019
90.928	7.389	249.029
91.010	8.593	248.896
91.002	9.809	248.901
91.062	11.082	248.939
91.088	12.301	248.790
91.095	13.678	248.749
91.111	15.187	248.738
91.115	16.574	248.743
91.160	17.979	248.615
91.122	19.527	248.497
91.145	21.049	248.631
91.206	22.504	248.460
91.122	24.146	248.494
91.173	25.601	248.289
91.154	27.270	248.512
91.193	28.782	248.387
91.166	30.360	248.317
91.112	31.913	248.371
91.168	33.533	248.377
91.135	35.152	248.351
91.123	36.738	248.226
91.064	38.337	248.357
88.592	44.820	250.522
87.912	47.712	250.992
87.878	49.284	251.049
87.931	50.916	251.094
87.909	52.504	251.032
87.866	54.037	251.126
87.919	55.663	251.149
87.915	57.130	251.141
88.625	57.127	250.681
91.072	54.201	248.589
91.087	55.582	248.511
88.586	61.638	250.761
87.928	64.436	251.354
87.919	65.718	251.385
88.586	65.765	250.864
88.643	67.007	250.997
88.612	68.416	250.897
87.987	70.917	251.518
87.981	72.145	251.581
88.019	73.297	251.711
88.053	74.398	251.648
88.087	75.493	251.752
88.058	76.574	251.754
88.095	77.595	251.877
88.119	78.508	251.872
88.133	79.404	251.877
88.798	79.013	251.439
88.910	79.500	251.516
88.142	81.661	252.012
88.875	81.005	251.592
88.836	81.720	251.641
88.831	82.086	251.579
88.984	82.348	251.602
88.881	83.072	251.651
88.910	83.361	251.762
88.961	83.666	251.755
88.850	84.152	251.801
88.765	84.546	251.811
88.802	84.626	251.802
88.797	84.670	251.818
88.837	84.563	251.891
88.761	84.708	251.806
88.804	84.482	251.847
88.719	84.489	251.860
88.048	85.557	252.309
88.666	84.101	251.749
88.776	83.426	251.762
88.693	83.186	251.695
88.739	82.576	251.671
87.997	83.596	252.194
88.776	81.444	251.704
91.136	76.602	249.427
88.705	80.360	251.512
88.566	79.964	251.420
87.988	80.366	251.988
87.996	79.552	251.921
88.663	77.528	251.380
88.755	76.341	251.411
88.614	75.708	251.244
88.658	74.638	251.259
88.765	73.368	251.176
88.758	72.291	251.138
88.047	72.491	251.634
88.083	71.284	251.561
88.079	70.059	251.500
88.072	68.820	251.461
88.702	66.291	250.852
88.743	64.943	250.807
88.084	64.767	251.245
88.095	63.479	251.257
88.812	60.666	250.749
91.248	54.576	248.550
91.216	53.200	248.541
88.796	56.277	250.680
88.066	56.110	251.044
88.046	54.657	251.072
88.050	53.051	251.114
87.972	51.514	251.051
87.976	49.911	251.031
87.991	48.312	250.992
87.986	46.683	251.086
87.914	45.062	250.946
87.906	43.481	251.011
87.908	41.872	251.088
87.843	40.227	250.967
87.833	38.702	251.029
87.864	37.118	251.006
87.831	35.582	251.172
87.869	34.030	251.086
87.790	32.482	251.105
87.796	30.945	251.194
87.834	29.429	251.083
87.757	27.924	251.201
87.789	26.444	251.193
87.755	24.992	251.380
87.847	23.527	251.328
87.783	22.109	251.373
