FILE_VERSION	2.0.0
NO_OF_FRAMES	1000
NO_OF_CAMERAS	2
NO_OF_MARKERS	1
FREQUENCY	100
DESCRIPTION	--
TIME_STAMP	2025-10-16, 12:19:08.895	115948.41319120
DATA_INCLUDED	3D
MARKER_NAMES	New 0000
TRAJECTORY_TYPES	Measured
103.999	71.937	485.542
103.952	69.383	485.457
103.935	66.844	485.316
103.932	64.258	485.215
103.892	61.601	485.090
103.885	58.984	484.963
103.861	56.340	484.958
103.854	53.726	484.825
103.816	51.072	484.791
103.799	48.433	484.762
103.761	45.799	484.745
103.744	43.163	484.725
103.752	40.456	484.728
103.716	37.766	484.810
103.729	35.056	484.801
103.706	32.363	484.896
103.713	29.641	484.995
103.717	26.999	485.053
103.724	24.327	485.159
103.724	21.786	485.345
103.767	19.272	485.405
103.765	16.822	485.551
103.783	14.463	485.714
103.807	12.208	485.858
103.817	9.999	486.009
103.850	7.868	486.219
103.869	5.828	486.347
103.890	3.814	486.528
103.906	1.872	486.736
103.949	0.010	486.876
103.978	-1.791	487.060
104.004	-3.550	487.283
104.038	-5.162	487.434
104.059	-6.712	487.627
104.084	-8.135	487.771
104.115	-9.462	487.954
104.149	-10.610	488.089
104.157	-11.650	488.204
104.170	-12.555	488.320
104.188	-13.334	488.396
104.229	-13.988	488.472
104.209	-14.559	488.629
104.215	-15.010	488.677
104.234	-15.332	488.705
104.244	-15.559	488.729
104.244	-15.711	488.740
104.237	-15.752	488.763
104.225	-15.695	488.740
104.222	-15.512	488.728
104.197	-15.231	488.716
104.165	-14.804	488.682
104.153	-14.240	488.620
104.139	-13.501	488.475
104.106	-12.687	488.384
104.073	-11.719	488.282
104.068	-10.618	488.100
104.024	-9.430	487.987
104.012	-8.121	487.812
103.974	-6.743	487.670
103.957	-5.273	487.467
103.923	-3.746	487.373
103.892	-2.125	487.142
103.853	-0.425	487.062
103.840	1.373	486.839
103.845	3.266	486.658
103.808	5.212	486.490
103.779	7.284	486.326
103.776	9.433	486.191
103.766	11.695	486.031
103.750	14.046	485.823
103.752	16.455	485.692
103.749	18.915	485.547
103.733	21.411	485.441
103.746	23.931	485.239
103.740	26.465	485.209
103.768	29.016	485.074
103.771	31.619	484.999
103.774	34.159	484.941
103.792	36.792	484.928
103.830	39.422	484.811
103.830	42.052	484.873
103.862	44.725	484.827
103.874	47.383	484.880
103.885	50.091	484.877
103.938	52.775	484.864
103.949	55.476	484.997
103.981	58.126	485.024
103.981	60.725	485.104
103.984	63.284	485.288
104.015	65.824	485.380
104.015	68.259	485.460
104.015	70.626	485.605
104.055	72.937	485.718
104.056	75.183	485.924
104.046	77.351	486.152
104.045	79.482	486.337
104.047	81.568	486.478
104.063	83.578	486.591
104.035	85.501	486.764
104.037	87.373	486.905
104.017	89.160	487.094
103.979	90.865	487.299
103.944	92.478	487.482
103.919	93.961	487.670
103.924	95.382	487.776
103.895	96.614	487.951
103.865	97.724	488.092
103.846	98.750	488.230
103.822	99.635	488.362
103.784	100.402	488.479
103.749	101.082	488.567
103.748	101.639	488.638
103.698	102.140	488.716
103.691	102.479	488.767
103.664	102.774	488.803
103.653	102.962	488.817
103.631	103.019	488.832
103.610	102.958	488.814
103.612	102.748	488.793
103.598	102.406	488.741
103.581	101.987	488.678
103.595	101.366	488.597
103.598	100.662	488.502
103.572	99.788	488.453
103.594	98.879	488.264
103.599	97.804	488.173
103.615	96.638	488.022
103.629	95.409	487.863
103.642	94.101	487.683
103.681	92.691	487.522
103.700	91.218	487.332
103.733	89.646	487.147
103.779	87.958	486.969
103.792	86.179	486.790
103.816	84.332	486.608
103.842	82.374	486.484
103.877	80.296	486.303
103.891	78.111	486.156
103.927	75.869	485.951
103.954	73.571	485.739
103.997	71.232	485.539
103.999	68.828	485.445
104.031	66.407	485.337
104.054	63.951	485.217
104.051	61.466	485.109
104.077	58.989	484.970
104.090	56.455	484.963
104.092	53.913	484.835
104.080	51.344	484.807
104.105	48.745	484.752
104.094	46.085	484.726
104.082	43.453	484.746
104.078	40.753	484.746
104.071	38.098	484.724
104.063	35.410	484.820
104.042	32.770	484.864
104.039	30.179	484.922
104.021	27.623	485.005
103.996	25.102	485.168
103.990	22.684	485.202
103.984	20.303	485.345
103.938	17.942	485.499
103.949	15.686	485.616
103.919	13.447	485.769
103.891	11.237	485.970
103.888	9.134	486.075
103.860	7.031	486.282
103.838	5.014	486.447
103.834	3.080	486.609
103.824	1.198	486.782
103.801	-0.601	487.014
103.801	-2.272	487.106
103.794	-3.844	487.350
103.806	-5.274	487.443
103.814	-6.601	487.641
103.808	-7.834	487.773
103.804	-8.956	487.928
103.837	-9.936	487.994
103.841	-10.841	488.101
103.842	-11.625	488.237
103.854	-12.341	488.314
103.883	-12.938	488.360
103.921	-13.427	488.405
103.923	-13.849	488.486
103.946	-14.173	488.585
103.973	-14.335	488.606
104.002	-14.393	488.600
104.012	-14.317	488.604
104.052	-14.093	488.577
104.096	-13.706	488.461
104.093	-13.235	488.397
104.114	-12.642	488.340
104.123	-11.924	488.283
104.158	-11.107	488.106
104.171	-10.169	488.022
104.173	-9.155	487.921
104.189	-8.057	487.774
104.186	-6.883	487.652
104.202	-5.583	487.463
104.192	-4.235	487.383
104.204	-2.777	487.166
104.183	-1.208	487.063
104.181	0.469	486.849
104.167	2.240	486.726
104.167	4.145	486.534
104.141	6.121	486.347
104.107	8.163	486.229
104.092	10.324	486.035
104.078	12.546	485.863
104.035	14.781	485.742
104.019	17.093	485.556
103.995	19.423	485.430
103.952	21.789	485.378
103.922	24.155	485.195
103.906	26.606	485.090
103.862	29.020	485.046
103.833	31.546	484.977
103.801	34.039	484.923
103.786	36.629	484.884
103.778	39.251	484.786
103.741	41.865	484.849
103.731	44.535	484.789
103.709	47.165	484.857
103.713	49.817	484.865
103.689	52.415	484.898
103.695	55.006	484.972
103.684	57.522	485.068
103.710	60.026	485.065
103.686	62.470	485.218
103.687	64.850	485.394
103.705	67.234	485.479
103.706	69.526	485.564
103.725	71.767	485.696
103.756	74.019	485.842
103.756	76.201	486.033
103.777	78.334	486.239
103.790	80.412	486.427
103.816	82.455	486.533
103.855	84.359	486.630
103.870	86.193	486.828
103.895	87.930	486.982
103.891	89.560	487.149
103.906	91.064	487.324
103.917	92.486	487.488
103.929	93.755	487.646
103.958	94.984	487.743
103.976	96.074	487.870
103.988	97.067	487.998
103.980	97.966	488.133
103.992	98.791	488.238
103.991	99.516	488.325
103.985	100.144	488.412
103.985	100.656	488.491
103.982	101.077	488.527
103.969	101.368	488.561
103.960	101.527	488.586
103.935	101.552	488.587
103.931	101.459	488.565
103.917	101.237	488.541
103.898	100.858	488.500
103.874	100.386	488.447
103.869	99.779	488.364
103.842	99.109	488.270
103.820	98.321	488.186
103.802	97.445	488.073
103.787	96.481	487.939
103.733	95.401	487.874
103.719	94.268	487.714
103.711	93.033	487.558
103.694	91.683	487.410
103.683	90.243	487.219
103.687	88.677	487.058
103.673	87.012	486.889
103.679	85.243	486.711
103.655	83.370	486.548
103.634	81.392	486.518
103.639	79.349	486.322
103.650	77.242	486.130
103.654	75.083	485.921
103.686	72.879	485.721
103.668	70.632	485.621
103.678	68.385	485.447
103.703	66.081	485.361
103.722	63.708	485.284
103.751	61.352	485.120
103.770	58.929	485.001
103.791	56.450	484.981
103.852	53.927	484.860
103.834	51.369	484.830
103.872	48.763	484.790
103.896	46.167	484.784
103.935	43.579	484.772
103.956	40.916	484.787
103.970	38.360	484.770
104.022	35.791	484.840
104.023	33.253	484.871
104.066	30.782	484.928
104.077	28.336	485.006
104.114	25.980	485.059
104.119	23.599	485.149
104.126	21.276	485.347
104.159	19.000	485.402
104.170	16.738	485.555
104.165	14.471	485.725
104.175	12.307	485.824
104.166	10.179	486.003
104.156	8.093	486.193
104.156	6.120	486.319
104.150	4.215	486.484
104.154	2.436	486.637
104.118	0.730	486.810
104.092	-0.887	487.021
104.085	-2.347	487.113
104.062	-3.748	487.301
104.030	-5.018	487.418
103.990	-6.238	487.586
104.001	-7.302	487.701
103.974	-8.302	487.762
103.936	-9.254	487.912
103.937	-10.096	487.989
103.914	-10.842	488.099
103.871	-11.480	488.218
103.871	-12.019	488.283
103.850	-12.412	488.328
103.839	-12.692	488.349
103.838	-12.846	488.369
103.830	-12.853	488.369
103.819	-12.729	488.366
103.803	-12.489	488.339
103.809	-12.145	488.303
103.823	-11.658	488.232
103.835	-11.083	488.121
103.824	-10.418	488.036
103.846	-9.673	487.952
103.850	-8.845	487.893
103.871	-7.909	487.743
103.898	-6.877	487.651
103.882	-5.783	487.566
103.919	-4.534	487.400
103.962	-3.197	487.209
103.963	-1.740	487.081
103.986	-0.176	486.923
104.003	1.493	486.765
104.027	3.270	486.602
104.034	5.122	486.446
104.062	7.080	486.269
104.094	9.105	486.053
104.085	11.129	485.969
104.114	13.241	485.772
104.132	15.404	485.637
104.123	17.581	485.529
104.136	19.814	485.395
104.128	22.102	485.264
104.126	24.386	485.175
104.131	26.776	485.053
104.118	29.150	485.009
104.099	31.652	484.944
104.121	34.153	484.793
104.060	36.694	484.845
104.067	39.263	484.753
104.066	41.869	484.737
104.026	44.441	484.743
104.015	46.976	484.739
103.981	49.526	484.813
103.981	52.040	484.816
103.932	54.483	484.920
103.907	56.894	485.007
103.907	59.313	485.012
103.864	61.666	485.139
103.824	63.996	485.313
103.799	66.332	485.394
103.780	68.625	485.467
103.752	70.842	485.630
103.741	73.078	485.740
103.719	75.259	485.943
103.701	77.361	486.144
103.679	79.381	486.323
103.681	81.360	486.454
103.676	83.202	486.538
103.666	84.940	486.717
103.652	86.595	486.902
103.653	88.139	487.044
103.641	89.597	487.187
103.658	90.952	487.335
103.650	92.224	487.477
103.643	93.402	487.634
103.655	94.503	487.782
103.678	95.522	487.896
103.691	96.470	488.030
103.691	97.316	488.154
103.733	98.083	488.175
103.763	98.713	488.243
103.764	99.226	488.310
103.797	99.600	488.349
103.823	99.862	488.380
103.838	99.980	488.395
103.852	99.976	488.386
103.877	99.845	488.380
103.903	99.610	488.357
103.904	99.279	488.314
103.931	98.817	488.254
103.944	98.299	488.184
103.956	97.660	488.092
103.980	96.954	487.993
103.978	96.151	487.884
103.987	95.265	487.774
103.983	94.277	487.637
103.998	93.168	487.495
103.987	91.922	487.402
103.981	90.594	487.241
103.981	89.147	487.073
103.981	87.589	486.900
103.962	85.916	486.799
103.960	84.186	486.599
103.934	82.384	486.522
103.921	80.482	486.362
103.892	78.509	486.230
103.872	76.498	486.067
103.863	74.451	485.850
103.860	72.356	485.663
103.809	70.189	485.577
103.813	68.014	485.428
103.797	65.783	485.369
103.761	63.473	485.298
103.769	61.114	485.119
103.777	58.713	484.998
103.735	56.258	485.019
103.752	53.775	484.888
103.728	51.278	484.853
103.728	48.716	484.843
103.706	46.191	484.813
103.722	43.697	484.798
103.739	41.159	484.814
103.717	38.661	484.851
103.740	36.237	484.863
103.746	33.784	484.887
103.776	31.434	484.949
103.784	29.019	485.026
103.812	26.705	485.084
103.835	24.356	485.189
103.849	22.060	485.323
103.889	19.789	485.407
103.908	17.536	485.553
103.932	15.332	485.731
103.956	13.198	485.788
103.980	11.100	485.983
104.025	9.140	486.088
104.038	7.224	486.281
104.052	5.403	486.443
104.088	3.692	486.557
104.085	2.066	486.735
104.121	0.550	486.822
104.140	-0.909	487.002
104.158	-2.246	487.096
104.168	-3.529	487.223
104.159	-4.733	487.381
104.184	-5.815	487.451
104.179	-6.887	487.629
104.187	-7.821	487.730
104.189	-8.661	487.801
104.180	-9.416	487.912
104.173	-10.015	487.990
104.173	-10.502	488.051
104.162	-10.883	488.078
104.136	-11.108	488.102
104.128	-11.217	488.109
104.097	-11.229	488.117
104.078	-11.111	488.097
104.077	-10.876	488.063
104.052	-10.544	488.034
104.026	-10.132	487.991
103.997	-9.634	487.932
103.975	-9.030	487.883
103.968	-8.341	487.774
103.932	-7.586	487.729
103.927	-6.681	487.608
103.900	-5.672	487.461
103.877	-4.571	487.400
103.866	-3.358	487.272
103.867	-2.010	487.082
103.835	-0.568	486.993
103.827	0.968	486.792
103.809	2.601	486.682
103.835	4.330	486.478
103.833	6.128	486.321
103.822	7.976	486.208
103.830	9.878	486.004
103.818	11.831	485.928
103.856	13.853	485.721
103.860	15.919	485.607
103.849	18.026	485.505
103.871	20.219	485.356
103.878	22.453	485.228
103.882	24.693	485.170
103.893	27.071	485.042
103.913	29.425	484.997
103.915	31.864	484.918
103.952	34.330	484.791
103.947	36.805	484.842
103.965	39.305	484.750
103.980	41.773	484.783
104.002	44.262	484.730
104.026	46.732	484.706
104.032	49.157	484.787
104.023	51.563	484.838
104.055	53.959	484.854
104.056	56.313	484.977
104.044	58.689	484.990
104.056	61.014	485.065
104.040	63.318	485.253
104.039	65.629	485.351
104.021	67.892	485.457
104.010	70.095	485.541
104.020	72.274	485.631
104.006	74.354	485.831
103.973	76.399	486.030
103.949	78.342	486.192
103.950	80.213	486.335
103.932	81.984	486.474
103.909	83.685	486.558
103.894	85.266	486.703
103.866	86.772	486.888
103.839	88.203	487.005
103.799	89.560	487.159
103.783	90.825	487.323
103.767	92.030	487.450
103.725	93.150	487.586
103.697	94.158	487.724
103.688	95.091	487.833
103.671	95.911	487.933
103.652	96.606	488.035
103.629	97.205	488.127
103.656	97.689	488.122
103.630	98.046	488.164
103.627	98.253	488.213
103.608	98.337	488.276
103.608	98.337	488.282
103.635	98.259	488.221
103.639	98.066	488.196
103.632	97.737	488.196
103.640	97.366	488.167
103.664	96.870	488.088
103.696	96.329	487.961
103.690	95.620	487.930
103.714	94.855	487.807
103.730	93.972	487.695
103.752	92.973	487.573
103.779	91.856	487.447
103.812	90.666	487.300
103.844	89.352	487.133
103.872	87.923	487.015
103.890	86.407	486.861
103.914	84.835	486.714
103.925	83.158	486.544
103.943	81.421	486.464
103.947	79.601	486.357
103.954	77.740	486.188
103.977	75.828	485.994
104.010	73.843	485.814
104.016	71.816	485.633
104.007	69.701	485.542
104.013	67.556	485.429
104.029	65.336	485.345
104.010	63.041	485.243
104.027	60.751	485.083
104.027	58.420	485.020
104.020	55.996	484.991
104.021	53.608	484.892
103.991	51.167	484.853
103.991	48.751	484.810
103.966	46.320	484.806
103.955	43.881	484.785
103.950	41.455	484.815
103.934	39.082	484.779
103.900	36.681	484.873
103.912	34.308	484.830
103.877	31.958	484.943
103.871	29.597	485.029
103.866	27.289	485.042
103.847	24.967	485.208
103.844	22.731	485.245
103.836	20.496	485.396
103.820	18.293	485.537
103.823	16.178	485.637
103.827	14.120	485.759
103.814	12.121	485.959
103.826	10.217	486.035
103.807	8.374	486.194
