FILE_VERSION	2.0.0
NO_OF_FRAMES	1000
NO_OF_CAMERAS	2
NO_OF_MARKERS	1
FREQUENCY	100
DESCRIPTION	--
TIME_STAMP	2025-10-16, 12:14:05.263	115644.78284680
DATA_INCLUDED	3D
MARKER_NAMES	New 0000
TRAJECTORY_TYPES	Measured
102.194	213.037	467.210
102.183	205.181	464.093
102.359	197.091	461.006
102.652	188.679	458.028
102.952	179.895	455.116
103.191	170.836	452.321
103.536	161.509	449.719
103.880	151.838	447.247
104.224	141.899	444.890
104.645	131.859	442.754
105.094	121.595	440.846
105.435	110.873	439.024
105.899	100.385	437.450
106.424	89.511	436.051
106.751	78.563	434.874
107.175	67.350	433.827
107.521	56.365	433.038
107.993	45.251	432.602
108.319	34.100	432.364
108.630	23.134	432.367
108.989	12.082	432.653
109.351	1.227	433.313
109.518	-9.565	434.162
109.833	-20.354	435.304
109.762	-30.948	436.502
109.689	-41.544	437.900
109.653	-51.782	439.565
109.425	-61.925	441.220
109.258	-71.826	443.065
108.968	-81.548	445.009
108.719	-90.869	447.117
108.343	-100.013	449.225
107.957	-108.731	451.501
107.615	-117.064	453.907
107.176	-125.194	456.296
106.809	-132.767	458.788
106.447	-139.987	461.351
106.039	-146.925	463.803
105.768	-153.432	466.295
105.403	-159.591	468.689
105.112	-165.175	470.976
104.862	-170.500	473.167
104.684	-175.277	475.202
104.434	-179.799	477.166
104.269	-183.860	478.880
104.130	-187.471	480.468
104.079	-190.635	481.885
104.016	-193.403	483.177
104.081	-195.615	484.260
104.070	-197.316	485.156
104.193	-198.668	485.870
104.327	-199.586	486.382
104.501	-200.079	486.710
104.727	-200.015	486.836
104.974	-199.619	486.677
105.273	-198.767	486.342
105.618	-197.457	485.723
105.991	-195.700	484.937
106.288	-193.645	483.893
106.624	-191.013	482.650
107.021	-188.013	481.175
107.404	-184.585	479.580
107.760	-180.758	477.807
108.155	-176.447	475.884
108.513	-171.688	473.902
108.747	-166.682	471.733
109.103	-161.162	469.545
109.359	-155.119	467.262
109.669	-148.668	464.952
109.818	-142.006	462.495
110.048	-134.851	460.087
110.131	-127.432	457.613
109.976	-119.726	455.102
109.745	-111.778	452.649
109.599	-103.492	450.209
109.304	-94.774	447.764
109.088	-85.702	445.465
108.979	-76.322	443.289
108.438	-66.772	441.351
108.150	-56.842	439.499
107.771	-46.705	437.830
107.425	-36.199	436.367
107.117	-25.619	435.133
106.790	-14.831	434.039
106.381	-3.973	433.302
106.059	6.907	432.670
105.675	17.948	432.305
105.338	28.923	432.192
105.000	39.963	432.218
104.664	51.098	432.527
104.384	62.221	433.144
104.054	73.133	433.871
103.881	84.038	434.950
103.702	94.801	436.309
103.442	105.606	437.824
103.288	116.059	439.601
103.323	126.446	441.628
103.176	136.549	443.760
103.136	146.354	446.044
103.261	156.042	448.529
103.309	165.391	451.082
