FILE_VERSION	2.0.0
NO_OF_FRAMES	1000
NO_OF_CAMERAS	2
NO_OF_MARKERS	1
FREQUENCY	100
DESCRIPTION	--
TIME_STAMP	2025-10-16, 18:42:51.728	138971.21265700
DATA_INCLUDED	3D
MARKER_NAMES	New 0000
TRAJECTORY_TYPES	Measured
110.743	11.165	479.561
110.838	3.435	480.014
110.814	-4.043	480.611
110.842	-11.363	481.351
110.933	-18.509	482.188
110.973	-25.522	483.074
111.000	-32.377	484.120
111.022	-39.105	485.165
111.081	-45.647	486.299
111.018	-52.049	487.498
110.938	-58.363	488.689
110.971	-64.380	490.109
111.009	-70.297	491.433
110.922	-75.975	492.837
111.012	-81.453	494.237
111.089	-86.646	495.689
111.079	-91.587	497.109
111.047	-96.184	498.452
110.988	-100.501	499.812
111.026	-104.476	501.100
111.125	-108.215	502.265
111.032	-111.552	503.361
111.010	-114.621	504.403
111.097	-117.310	505.383
111.064	-119.734	506.254
111.003	-121.911	507.025
111.028	-123.778	507.686
111.096	-125.359	508.299
111.075	-126.660	508.802
111.014	-127.649	509.209
111.069	-128.381	509.476
111.103	-128.816	509.659
111.038	-128.941	509.724
111.016	-128.701	509.644
111.116	-128.165	509.444
111.090	-127.235	509.150
111.020	-126.046	508.665
111.067	-124.492	508.034
111.074	-122.532	507.277
111.046	-120.261	506.481
111.019	-117.708	505.530
111.029	-114.827	504.495
111.051	-111.680	503.356
111.010	-108.257	502.198
110.968	-104.549	500.983
111.017	-100.634	499.725
111.029	-96.473	498.410
110.966	-92.063	497.133
110.921	-87.376	495.825
110.972	-82.453	494.458
110.900	-77.240	493.127
110.875	-71.878	491.733
110.895	-66.197	490.350
110.878	-60.229	489.073
110.847	-54.075	487.712
110.812	-47.613	486.450
110.853	-40.984	485.346
110.856	-34.166	484.189
110.805	-27.184	483.106
110.808	-20.081	482.173
110.806	-12.879	481.338
110.814	-5.619	480.609
110.781	1.691	479.938
110.779	9.053	479.507
110.797	16.415	479.093
110.752	23.862	478.862
110.714	31.325	478.761
110.759	38.784	478.738
110.763	46.285	478.826
110.724	53.845	479.066
110.751	61.325	479.404
110.768	68.831	479.839
110.734	76.270	480.423
110.769	83.631	481.067
110.846	90.870	481.902
110.824	97.994	482.759
110.867	104.933	483.723
110.867	111.666	484.772
110.862	118.219	485.965
110.912	124.586	487.130
110.917	130.640	488.317
110.919	136.586	489.632
110.998	142.249	490.970
110.980	147.723	492.274
110.978	152.970	493.625
110.993	157.988	494.962
110.965	162.791	496.280
110.887	167.449	497.609
110.841	171.765	498.944
110.855	175.887	500.213
110.944	179.711	501.440
110.930	183.252	502.623
110.920	186.510	503.708
110.965	189.409	504.764
110.976	191.977	505.706
110.964	194.239	506.517
110.979	196.140	507.200
110.969	197.775	507.785
111.024	198.979	508.280
111.060	199.912	508.669
111.038	200.554	508.908
111.072	200.927	509.046
111.041	201.028	509.061
110.936	200.849	508.986
110.954	200.433	508.809
111.018	199.714	508.524
110.963	198.717	508.082
111.006	197.370	507.652
111.006	195.789	506.983
110.996	193.901	506.213
110.981	191.713	505.421
110.934	189.146	504.488
110.986	186.190	503.441
111.002	182.948	502.386
110.949	179.414	501.179
110.965	175.527	499.921
110.972	171.449	498.613
110.910	167.104	497.297
110.945	162.429	495.941
110.955	157.581	494.600
110.942	152.462	493.244
110.896	147.218	491.888
110.881	141.706	490.554
110.843	136.019	489.311
110.827	130.145	488.026
110.785	124.049	486.760
110.747	117.791	485.620
110.778	111.292	484.496
110.740	104.613	483.495
110.678	97.762	482.557
110.700	90.686	481.662
110.693	83.525	480.930
110.648	76.248	480.279
110.640	68.811	479.645
110.639	61.404	479.321
110.643	53.950	478.989
110.619	46.479	478.710
110.620	39.048	478.678
110.621	31.644	478.797
110.652	24.258	478.929
110.664	16.931	479.170
110.716	9.668	479.600
110.781	2.450	480.029
110.811	-4.723	480.700
110.820	-11.826	481.398
110.872	-18.823	482.251
110.938	-25.763	483.119
111.010	-32.559	484.141
111.046	-39.225	485.239
111.151	-45.693	486.399
111.185	-51.970	487.634
111.060	-58.110	488.742
110.978	-63.951	490.022
111.061	-69.485	491.367
111.075	-74.809	492.648
111.076	-79.915	493.912
111.128	-84.692	495.261
111.141	-89.253	496.512
111.162	-93.569	497.728
111.110	-97.572	498.933
111.025	-101.348	500.105
111.114	-104.837	501.312
111.158	-108.185	502.272
111.067	-111.170	503.310
111.100	-113.941	504.229
111.083	-116.327	505.169
111.038	-118.462	505.890
111.007	-120.306	506.541
110.997	-121.815	507.125
111.042	-123.041	507.534
111.003	-123.851	507.846
110.998	-124.401	508.049
111.035	-124.643	508.100
111.051	-124.495	508.041
110.973	-124.011	507.836
111.019	-123.306	507.544
111.024	-122.232	507.173
111.006	-120.901	506.643
110.973	-119.234	506.041
111.031	-117.362	505.354
111.019	-115.176	504.602
110.985	-112.699	503.765
111.004	-110.003	502.749
110.975	-106.893	501.858
111.009	-103.608	500.737
110.997	-100.047	499.552
110.987	-96.168	498.337
110.997	-91.939	497.145
111.023	-87.488	495.811
110.957	-82.681	494.542
110.951	-77.634	493.191
110.989	-72.387	491.838
110.949	-66.851	490.508
110.961	-61.152	489.207
110.959	-55.215	487.994
110.929	-49.056	486.783
110.907	-42.836	485.612
110.895	-36.471	484.506
110.916	-29.892	483.493
110.888	-23.176	482.544
110.847	-16.411	481.685
110.856	-9.464	480.939
110.853	-2.376	480.381
110.800	4.810	479.759
110.783	12.039	479.270
110.771	19.397	479.017
110.759	26.854	478.713
110.777	34.242	478.627
110.731	41.701	478.646
110.724	49.138	478.774
110.707	56.524	478.951
110.679	63.809	479.415
110.695	71.015	479.883
110.722	78.156	480.489
110.736	85.162	481.165
110.740	92.058	481.965
110.742	98.769	482.801
110.800	105.324	483.730
110.848	111.764	484.761
110.762	118.100	485.848
110.819	124.278	486.988
110.881	130.246	488.203
110.897	136.074	489.511
110.966	141.690	490.813
110.969	147.085	492.075
110.982	152.252	493.344
111.041	157.134	494.712
111.036	161.776	496.011
110.938	166.148	497.213
110.920	170.149	498.383
110.898	173.932	499.587
110.948	177.377	500.722
110.984	180.609	501.737
111.000	183.507	502.767
111.024	186.145	503.671
111.000	188.513	504.481
111.053	190.570	505.239
111.042	192.402	505.906
111.026	193.906	506.459
111.054	195.208	506.913
111.063	196.173	507.256
111.052	196.819	507.551
111.048	197.195	507.663
111.075	197.256	507.668
111.057	197.001	507.585
110.968	196.423	507.253
110.959	195.527	506.920
110.989	194.322	506.488
110.956	192.800	505.903
110.918	190.961	505.230
110.926	188.835	504.496
110.932	186.415	503.651
110.936	183.703	502.706
110.899	180.734	501.665
110.885	177.506	500.631
110.926	174.016	499.504
110.881	170.270	498.314
110.831	166.318	497.128
110.898	162.071	495.874
110.899	157.596	494.635
110.848	152.820	493.346
110.872	147.817	492.025
110.855	142.537	490.744
110.842	137.049	489.515
110.799	131.291	488.245
110.788	125.353	487.064
110.786	119.211	485.911
110.785	112.846	484.799
110.746	106.373	483.803
110.734	99.785	482.875
110.735	93.028	481.980
110.706	86.173	481.243
110.697	79.244	480.527
110.717	72.236	479.962
110.692	65.170	479.500
110.700	58.018	479.084
110.661	50.880	478.874
110.682	43.657	478.773
110.670	36.392	478.707
110.681	29.120	478.747
110.714	21.830	478.960
110.752	14.590	479.315
110.771	7.381	479.693
110.753	0.267	480.328
110.797	-6.786	480.910
110.825	-13.721	481.697
110.834	-20.543	482.429
110.947	-27.182	483.359
111.014	-33.665	484.357
111.033	-40.017	485.328
111.031	-46.120	486.426
111.006	-52.067	487.553
110.999	-57.849	488.630
111.071	-63.451	489.857
111.052	-68.796	491.128
110.982	-73.943	492.339
111.026	-78.846	493.637
111.112	-83.579	494.845
111.120	-88.016	496.114
111.141	-92.234	497.294
111.121	-96.182	498.452
111.086	-99.829	499.574
111.104	-103.177	500.646
111.155	-106.207	501.658
111.144	-108.975	502.585
111.156	-111.462	503.365
111.187	-113.624	504.123
111.103	-115.478	504.772
111.116	-117.048	505.307
111.132	-118.302	505.798
111.065	-119.303	506.117
111.069	-119.973	506.376
111.098	-120.409	506.500
111.096	-120.523	506.529
111.063	-120.352	506.473
111.056	-119.819	506.335
111.089	-119.108	505.998
111.055	-118.005	505.626
111.050	-116.613	505.156
111.033	-114.951	504.507
111.034	-112.959	503.817
111.014	-110.625	503.065
110.983	-108.043	502.153
110.984	-105.104	501.187
110.991	-101.944	500.117
110.954	-98.473	499.044
110.947	-94.762	497.908
110.960	-90.771	496.726
110.988	-86.525	495.517
110.934	-82.050	494.260
110.918	-77.290	493.059
110.924	-72.381	491.832
110.911	-67.195	490.604
110.886	-61.847	489.346
110.897	-56.279	488.144
110.896	-50.407	487.045
110.858	-44.456	485.879
110.847	-38.271	484.830
110.860	-31.897	483.856
110.847	-25.323	482.914
110.816	-18.654	482.029
110.836	-11.851	481.256
110.869	-4.961	480.572
110.842	2.033	479.922
110.806	9.097	479.499
110.834	16.172	479.101
110.834	23.303	478.820
110.792	30.458	478.699
110.770	37.607	478.720
110.776	44.735	478.774
110.754	51.862	478.946
110.751	58.909	479.179
110.741	65.957	479.629
110.761	72.935	480.094
110.776	79.888	480.676
110.801	86.731	481.410
110.815	93.486	482.207
110.804	100.117	483.060
110.860	106.541	483.969
110.855	112.829	484.940
110.812	118.976	486.091
110.861	124.898	487.143
110.866	130.614	488.307
110.886	136.156	489.501
110.934	141.455	490.716
110.906	146.525	491.934
110.914	151.346	493.177
110.974	155.939	494.406
110.908	160.292	495.565
110.830	164.401	496.740
110.829	168.284	497.855
110.814	171.880	498.907
110.839	175.245	499.992
110.885	178.323	501.024
110.894	181.174	501.957
110.943	183.687	502.798
110.968	185.973	503.562
110.969	187.895	504.242
110.982	189.532	504.828
111.009	190.839	505.338
111.019	191.874	505.702
111.047	192.585	505.944
111.071	192.982	506.080
111.081	193.096	506.134
111.095	192.945	506.063
111.113	192.483	505.902
111.092	191.763	505.659
111.098	190.741	505.276
111.090	189.502	504.800
