FILE_VERSION	2.0.0
NO_OF_FRAMES	1000
NO_OF_CAMERAS	2
NO_OF_MARKERS	1
FREQUENCY	100
DESCRIPTION	--
TIME_STAMP	2025-10-16, 12:04:26.930	115066.44890790
DATA_INCLUDED	3D
MARKER_NAMES	New 0000
TRAJECTORY_TYPES	Measured
106.377	-264.035	161.389
105.142	-276.483	165.692
103.741	-288.628	169.817
102.451	-300.039	174.087
101.545	-311.000	178.580
100.583	-321.706	182.998
99.341	-331.472	187.304
98.335	-340.757	191.819
97.457	-349.502	196.296
96.692	-357.483	200.668
96.051	-365.009	204.980
95.528	-372.038	209.159
95.035	-378.527	213.174
94.862	-384.559	216.895
94.763	-390.207	220.410
94.985	-395.159	223.601
95.189	-399.973	226.449
95.501	-404.429	228.945
96.617	-408.063	231.144
97.483	-411.391	233.094
98.075	-414.882	234.781
98.772	-417.816	236.173
99.607	-420.037	237.319
100.449	-421.614	238.253
101.519	-423.016	238.960
102.396	-423.605	239.468
103.708	-422.948	239.849
105.022	-422.128	240.039
106.094	-420.852	239.836
107.309	-419.096	239.442
108.456	-416.998	238.686
109.454	-414.624	237.475
110.593	-411.559	236.011
111.385	-408.176	234.121
112.147	-404.608	231.854
112.987	-400.495	229.342
113.742	-395.793	226.595
114.317	-391.066	223.545
114.942	-385.489	220.270
115.448	-379.689	216.763
115.676	-372.989	213.255
115.905	-365.823	209.489
115.754	-358.274	205.547
115.708	-349.825	201.556
115.468	-341.221	197.514
114.959	-332.173	193.275
114.497	-322.495	189.007
113.945	-312.501	184.690
112.999	-302.525	179.852
112.214	-291.925	175.153
111.317	-281.013	170.201
110.271	-269.635	165.283
109.048	-257.850	160.285
108.008	-245.821	155.506
106.911	-233.269	150.864
105.928	-219.877	146.639
104.822	-206.368	142.350
103.539	-192.516	138.434
102.629	-178.033	134.944
101.344	-163.575	131.467
100.479	-148.562	128.381
99.712	-133.167	125.475
99.196	-117.500	122.883
98.812	-101.887	120.182
98.522	-85.850	117.727
98.484	-70.059	115.426
98.469	-53.746	113.488
98.657	-37.514	111.752
98.902	-20.958	110.410
99.502	-4.474	109.546
100.133	12.102	108.988
100.718	28.983	108.942
101.694	45.620	109.258
102.555	62.458	109.979
103.487	79.215	111.062
104.585	95.797	112.522
105.606	112.299	114.093
106.719	128.698	115.976
107.855	144.786	118.046
108.919	160.772	120.344
109.959	176.627	122.854
110.962	192.362	125.762
111.903	207.680	128.914
112.786	222.637	132.378
113.510	237.568	136.255
114.030	252.240	140.433
114.649	266.310	144.727
115.046	280.202	149.318
115.336	293.759	154.112
115.398	306.851	158.934
115.447	319.676	163.851
115.354	332.047	168.625
115.197	343.949	173.324
114.978	355.479	178.019
114.601	366.635	182.720
114.097	377.379	187.401
113.576	387.707	192.090
113.040	397.399	196.746
112.268	406.913	201.445
111.545	415.749	206.058
110.742	424.233	210.646
109.868	432.286	215.200
108.772	439.893	219.631
107.668	446.800	223.699
106.484	453.361	227.783
105.428	459.430	231.635
104.658	465.077	235.129
103.896	470.337	238.410
103.114	475.154	241.444
102.476	479.481	244.082
101.989	483.300	246.346
101.499	486.757	248.444
101.159	489.701	250.170
100.875	492.068	251.629
100.681	494.040	252.865
100.446	495.604	253.878
100.389	496.728	254.676
100.445	497.240	255.117
100.554	497.382	255.348
100.768	497.021	255.278
101.072	496.151	254.853
101.446	494.848	254.128
101.923	493.091	253.090
102.458	490.888	251.731
103.007	488.248	250.026
103.745	485.174	247.948
104.469	481.662	245.521
105.279	477.648	242.807
106.111	473.248	239.858
106.980	468.366	236.660
107.920	462.971	233.177
108.783	457.154	229.593
109.682	450.807	225.789
110.522	444.072	221.928
111.341	436.813	217.867
112.077	429.145	213.738
112.798	420.963	209.454
113.400	412.391	205.106
113.944	403.349	200.619
114.457	393.786	195.949
114.850	383.819	191.165
115.135	373.452	186.254
115.338	362.656	181.227
115.347	351.543	176.166
115.285	340.045	171.032
115.116	327.981	165.851
114.785	315.633	160.954
