FILE_VERSION	2.0.0
NO_OF_FRAMES	1000
NO_OF_CAMERAS	2
NO_OF_MARKERS	1
FREQUENCY	100
DESCRIPTION	--
TIME_STAMP	2025-10-16, 12:23:47.934	116227.45259480
DATA_INCLUDED	3D
MARKER_NAMES	New 0000
TRAJECTORY_TYPES	Measured
103.843	64.910	485.187
103.820	65.485	485.213
103.789	66.005	485.254
103.770	66.505	485.278
103.764	66.938	485.293
103.744	67.310	485.294
103.732	67.642	485.309
103.721	67.930	485.314
103.710	68.171	485.326
103.705	68.352	485.356
103.693	68.482	485.373
103.698	68.564	485.368
103.696	68.609	485.379
103.700	68.581	485.376
103.699	68.518	485.365
103.712	68.405	485.357
103.721	68.256	485.347
103.729	68.044	485.328
103.747	67.809	485.325
103.752	67.532	485.328
103.771	67.190	485.300
103.805	66.797	485.257
103.803	66.373	485.280
103.823	65.890	485.265
103.845	65.361	485.240
103.866	64.783	485.246
103.898	64.153	485.181
103.885	63.489	485.244
103.913	62.776	485.177
103.953	62.043	485.094
103.951	61.289	485.059
103.976	60.509	485.010
103.996	59.695	484.942
104.025	58.837	484.897
104.036	57.963	484.872
104.024	57.051	484.898
104.032	56.108	484.890
104.042	55.122	484.852
104.051	54.119	484.787
104.044	53.114	484.760
104.043	52.098	484.731
104.036	51.046	484.694
104.009	49.953	484.700
104.014	48.893	484.694
104.003	47.814	484.690
103.999	46.728	484.654
103.962	45.621	484.681
103.954	44.562	484.644
103.943	43.497	484.658
103.924	42.424	484.659
103.899	41.307	484.698
103.903	40.237	484.671
103.881	39.190	484.669
103.859	38.144	484.651
103.824	37.075	484.744
103.817	36.039	484.745
103.811	35.002	484.729
103.817	34.009	484.714
103.793	33.010	484.782
103.776	32.074	484.815
103.780	31.173	484.814
103.776	30.261	484.828
103.780	29.380	484.930
103.780	28.553	484.927
103.780	27.775	484.924
103.777	27.026	484.923
103.798	26.314	484.949
103.788	25.579	485.036
103.806	24.944	485.056
103.823	24.290	485.069
103.837	23.717	485.063
103.869	23.177	485.057
103.871	22.672	485.063
103.893	22.218	485.078
103.930	21.825	485.118
103.925	21.437	485.187
103.946	21.127	485.208
103.959	20.863	485.203
103.980	20.652	485.205
104.000	20.490	485.212
104.021	20.379	485.200
104.041	20.316	485.192
104.052	20.292	485.195
104.063	20.317	485.205
104.074	20.393	485.192
104.081	20.497	485.195
104.088	20.651	485.194
104.100	20.841	485.190
104.121	21.131	485.101
104.113	21.434	485.101
104.110	21.759	485.058
104.109	22.168	485.044
104.107	22.608	485.011
104.089	23.097	485.012
104.068	23.614	485.017
104.055	24.205	485.039
104.032	24.805	485.009
104.030	25.498	484.906
104.011	26.181	484.894
103.980	26.884	484.882
103.982	27.616	484.865
103.952	28.383	484.881
103.946	29.216	484.802
103.920	30.053	484.771
103.892	30.936	484.763
103.862	31.813	484.788
103.855	32.730	484.739
103.847	33.700	484.678
103.822	34.663	484.682
103.805	35.680	484.676
103.774	36.699	484.688
103.777	37.756	484.629
103.776	38.784	484.619
103.769	39.820	484.628
103.760	40.856	484.641
103.767	41.941	484.606
103.754	43.003	484.626
103.749	44.053	484.625
103.755	45.099	484.635
103.767	46.130	484.662
103.782	47.185	484.650
103.785	48.253	484.670
103.799	49.302	484.683
103.811	50.328	484.690
103.813	51.345	484.722
103.854	52.386	484.710
103.880	53.376	484.736
103.886	54.315	484.760
