FILE_VERSION	2.0.0
NO_OF_FRAMES	1000
NO_OF_CAMERAS	2
NO_OF_MARKERS	1
FREQUENCY	100
DESCRIPTION	--
TIME_STAMP	2025-10-16, 12:15:01.279	115700.79817430
DATA_INCLUDED	3D
MARKER_NAMES	New 0000
TRAJECTORY_TYPES	Measured
106.827	12.399	432.460
106.859	11.619	432.455
106.797	10.978	432.482
106.801	10.439	432.553
106.774	9.801	432.564
106.641	9.217	432.543
106.623	8.883	432.552
106.588	8.584	432.553
106.479	8.269	432.538
106.431	8.077	432.517
106.371	7.957	432.506
106.346	7.933	432.517
106.263	7.956	432.519
106.230	8.076	432.517
106.204	8.302	432.516
106.171	8.522	432.513
106.099	8.822	432.501
106.037	9.345	432.508
105.991	9.787	432.497
106.032	10.376	432.471
105.971	10.909	432.414
106.007	11.609	432.369
106.006	12.302	432.357
106.049	13.254	432.330
106.116	14.191	432.236
106.011	15.037	432.263
106.107	16.082	432.289
106.102	17.193	432.183
106.098	18.228	432.179
106.189	19.449	432.203
106.219	20.627	432.214
106.188	21.896	432.136
106.299	23.244	432.137
106.344	24.590	432.087
106.380	25.932	432.126
106.396	27.421	432.117
106.463	28.929	432.066
106.510	30.346	432.059
106.521	31.962	432.014
106.556	33.517	432.107
106.544	35.070	432.106
106.571	36.722	432.121
106.582	38.288	432.132
106.598	39.868	432.229
106.545	41.606	432.216
106.544	43.331	432.302
106.486	44.840	432.385
106.532	46.479	432.395
106.484	48.203	432.444
106.473	49.776	432.509
106.485	51.458	432.562
106.364	53.188	432.664
106.327	54.652	432.764
106.344	56.241	432.736
106.312	57.832	432.829
106.229	59.355	432.938
106.079	60.845	433.044
106.060	62.253	433.167
105.973	63.734	433.233
105.860	65.115	433.365
105.802	66.503	433.472
105.752	67.825	433.595
105.743	69.040	433.726
105.615	70.173	433.828
105.544	71.405	433.891
105.552	72.542	433.974
105.603	73.443	433.958
105.562	74.452	434.044
105.531	75.348	434.125
105.499	76.238	434.237
105.512	77.044	434.328
105.489	77.740	434.410
105.502	78.372	434.474
105.531	79.032	434.565
105.530	79.513	434.616
105.548	80.096	434.633
105.597	80.462	434.671
105.615	80.772	434.716
105.674	81.069	434.757
105.722	81.219	434.769
105.774	81.293	434.777
105.827	81.323	434.775
105.905	81.234	434.787
105.950	81.085	434.766
106.009	80.886	434.740
106.059	80.618	434.709
106.106	80.330	434.696
106.154	79.876	434.618
