FILE_VERSION	2.0.0
NO_OF_FRAMES	1000
NO_OF_CAMERAS	2
NO_OF_MARKERS	1
FREQUENCY	100
DESCRIPTION	--
TIME_STAMP	2025-10-16, 18:37:11.162	138630.64685510
DATA_INCLUDED	3D
MARKER_NAMES	New 0000
TRAJECTORY_TYPES	Measured
110.839	97.598	482.704
110.824	97.873	482.731
110.822	98.022	482.748
110.825	98.054	482.763
110.820	98.005	482.743
110.804	97.825	482.732
110.827	97.497	482.681
110.821	97.099	482.623
110.815	96.535	482.543
110.809	95.864	482.459
110.801	95.057	482.335
110.817	94.109	482.256
110.809	93.026	482.119
110.813	91.814	481.968
110.824	90.485	481.802
110.792	89.104	481.629
110.815	87.550	481.475
110.816	85.932	481.291
110.802	84.253	481.103
110.796	82.470	480.900
110.816	80.629	480.713
110.814	78.671	480.532
110.804	76.729	480.406
110.812	74.635	480.207
110.837	72.457	480.006
110.834	70.172	479.796
110.848	67.875	479.659
110.847	65.486	479.533
110.846	62.982	479.373
110.832	60.454	479.292
110.856	57.851	479.075
110.856	55.232	478.989
110.815	52.595	478.995
110.837	49.841	478.821
110.859	47.121	478.739
110.830	44.447	478.765
110.857	41.700	478.672
110.866	38.976	478.687
110.833	36.326	478.700
110.872	33.584	478.635
110.825	30.922	478.743
110.839	28.272	478.708
110.829	25.590	478.890
110.835	22.893	478.845
110.842	20.278	479.013
110.847	17.657	479.070
110.814	15.064	479.209
110.827	12.519	479.305
110.813	10.040	479.534
110.833	7.605	479.643
110.809	5.244	479.797
110.821	2.973	479.940
110.830	0.775	480.198
110.863	-1.351	480.305
110.836	-3.351	480.499
110.867	-5.287	480.616
110.835	-7.098	480.851
110.868	-8.853	480.972
110.862	-10.483	481.223
110.861	-12.068	481.320
110.900	-13.557	481.485
110.860	-14.866	481.690
110.896	-16.192	481.799
110.878	-17.346	481.993
110.881	-18.430	482.110
110.916	-19.404	482.191
110.908	-20.262	482.287
110.897	-20.955	482.455
110.914	-21.490	482.547
110.905	-21.957	482.571
110.920	-22.266	482.575
110.911	-22.427	482.589
110.917	-22.489	482.582
110.908	-22.396	482.588
110.915	-22.202	482.559
110.908	-21.885	482.560
