FILE_VERSION	2.0.0
NO_OF_FRAMES	1000
NO_OF_CAMERAS	2
NO_OF_MARKERS	1
FREQUENCY	100
DESCRIPTION	--
TIME_STAMP	2025-10-16, 12:22:34.200	116153.71872290
DATA_INCLUDED	3D
MARKER_NAMES	New 0000
TRAJECTORY_TYPES	Measured
103.734	-69.864	499.285
103.731	-67.989	498.763
103.731	-65.885	498.241
103.729	-63.554	497.664
103.730	-60.972	496.994
103.727	-58.197	496.399
103.754	-55.213	495.610
103.754	-52.079	494.940
103.778	-48.733	494.222
103.821	-45.223	493.456
103.824	-41.556	492.762
103.868	-37.722	492.025
103.912	-33.729	491.293
103.948	-29.585	490.557
103.965	-25.295	489.919
104.020	-20.843	489.242
104.062	-16.218	488.575
104.094	-11.487	487.963
104.129	-6.590	487.337
104.147	-1.605	486.869
104.200	3.512	486.334
104.224	8.709	485.877
104.257	13.952	485.504
104.266	19.259	485.205
104.269	24.586	484.916
104.289	29.926	484.752
104.278	35.269	484.674
104.293	40.670	484.548
104.285	46.045	484.556
104.287	51.413	484.623
104.259	56.772	484.796
104.201	62.088	485.037
104.202	67.448	485.275
104.175	72.740	485.571
104.110	77.975	486.056
104.099	83.161	486.403
104.065	88.234	486.876
104.010	93.235	487.387
103.952	98.094	487.994
103.908	102.823	488.616
103.866	107.420	489.279
103.792	111.852	489.952
103.745	116.120	490.719
103.688	120.289	491.415
103.601	124.232	492.129
103.579	128.023	492.896
103.533	131.726	493.600
103.475	135.190	494.373
103.427	138.570	495.087
103.412	141.681	495.843
103.371	144.685	496.517
103.345	147.459	497.154
103.321	149.991	497.828
103.307	152.334	498.346
103.276	154.404	498.957
103.277	156.294	499.416
103.266	157.941	499.812
103.255	159.323	500.247
103.266	160.502	500.552
103.287	161.463	500.795
103.302	162.176	501.000
103.328	162.687	501.158
103.359	162.977	501.237
103.389	163.055	501.255
103.418	162.936	501.218
103.451	162.596	501.102
103.480	162.027	500.950
103.497	161.223	500.731
103.541	160.170	500.465
103.609	158.918	500.037
103.630	157.406	499.663
103.665	155.647	499.227
103.736	153.693	498.661
103.759	151.520	498.116
103.801	149.103	497.523
103.815	146.500	496.876
103.866	143.689	496.200
103.856	140.718	495.503
103.863	137.502	494.804
103.911	134.169	494.046
103.916	130.635	493.368
103.920	126.928	492.635
103.936	123.104	491.871
103.964	119.073	491.170
103.962	114.896	490.506
103.962	110.540	489.747
103.939	106.084	489.104
103.933	101.441	488.446
103.929	96.680	487.849
103.935	91.817	487.266
103.900	86.828	486.740
103.894	81.775	486.275
103.851	76.642	486.006
103.842	71.446	485.526
103.807	66.203	485.309
103.816	60.908	485.026
103.795	55.621	484.903
103.755	50.304	484.776
103.759	44.981	484.715
103.758	39.607	484.734
103.733	34.260	484.866
103.731	28.941	485.013
103.752	23.650	485.172
103.739	18.370	485.509
103.742	13.157	485.777
