FILE_VERSION	2.0.0
NO_OF_FRAMES	1000
NO_OF_CAMERAS	2
NO_OF_MARKERS	1
FREQUENCY	100
DESCRIPTION	--
TIME_STAMP	2025-10-16, 18:15:13.322	137312.80749200
DATA_INCLUDED	3D
MARKER_NAMES	New 0000
TRAJECTORY_TYPES	Measured
88.691	-102.025	262.727
88.827	-84.989	259.425
89.022	-67.765	256.529
89.018	-50.343	254.099
89.086	-32.785	252.122
88.110	-13.240	251.571
88.100	4.450	250.490
87.855	22.860	250.218
87.829	40.673	250.043
87.779	58.546	250.291
87.662	76.703	251.166
87.723	94.509	252.458
87.775	112.065	254.019
87.700	129.871	256.204
87.694	147.242	258.741
87.811	164.281	261.632
87.884	181.232	264.984
87.994	197.752	268.589
88.173	213.996	272.576
88.250	229.816	277.049
88.421	245.213	281.479
88.438	260.250	286.449
88.459	274.907	291.713
88.519	289.128	297.037
88.473	302.919	302.603
88.530	316.331	308.129
88.677	329.252	314.051
88.819	341.767	319.946
88.926	353.743	326.155
89.023	365.172	332.146
89.080	376.132	338.112
89.149	386.487	344.208
89.198	396.369	350.113
89.196	405.693	356.006
89.226	414.458	361.638
89.220	422.682	367.237
89.305	430.357	372.519
89.385	437.547	377.665
89.453	444.236	382.560
89.455	450.399	387.245
89.388	456.155	391.685
89.431	461.386	395.792
89.486	466.188	399.628
89.606	470.486	403.158
89.607	474.368	406.356
89.584	477.724	409.153
89.536	480.655	411.617
89.576	483.069	413.700
89.632	485.081	415.354
89.742	486.546	416.627
89.764	487.543	417.517
89.741	488.042	417.957
89.680	488.077	417.985
89.642	487.558	417.652
89.660	486.683	416.832
89.711	485.341	415.639
89.748	483.474	414.078
89.682	481.290	412.030
89.629	478.506	409.747
89.561	475.315	407.065
89.598	471.620	404.106
89.647	467.532	400.755
89.627	462.969	397.067
89.556	457.977	393.094
89.499	452.445	388.794
89.445	446.416	384.237
89.430	439.904	379.411
89.447	432.826	374.321
89.412	425.253	369.021
89.360	417.136	363.539
89.258	408.504	357.865
89.180	399.231	352.123
89.102	389.543	346.145
89.078	379.323	340.090
88.997	368.514	334.198
88.889	357.233	328.217
88.751	345.511	322.215
88.702	333.350	316.321
88.712	320.656	310.488
88.630	307.584	304.753
88.542	294.060	299.094
88.449	280.022	293.672
88.446	265.601	288.506
88.456	250.762	283.423
88.470	235.412	278.625
88.330	219.793	274.174
88.258	203.703	269.942
88.203	187.278	266.198
88.252	170.660	262.702
88.350	153.596	259.545
88.363	136.388	256.749
89.318	117.219	253.282
88.065	101.557	252.807
86.283	87.288	252.769
86.381	69.719	251.918
86.485	52.094	251.439
86.410	34.491	251.424
86.342	16.839	251.847
86.185	-0.696	252.680
86.129	-18.276	254.049
86.046	-35.590	256.055
86.067	-52.932	258.346
85.992	-69.885	260.995
85.921	-86.789	263.910
85.773	-103.168	267.606
88.918	-126.148	268.199
88.986	-142.211	272.310
88.996	-157.938	276.759
88.793	-173.379	281.268
88.573	-188.253	286.267
88.541	-202.802	291.499
88.676	-217.033	296.776
88.697	-230.746	302.383
88.660	-244.056	308.055
88.508	-256.776	314.000
88.493	-269.240	319.856
88.510	-281.083	325.927
88.677	-292.485	331.933
88.720	-303.320	337.981
88.665	-313.731	343.945
88.515	-323.490	349.856
88.558	-332.793	355.569
88.608	-341.573	361.227
88.774	-349.808	366.649
88.901	-357.294	371.879
88.848	-364.472	376.910
88.803	-370.960	381.671
88.925	-376.954	386.195
89.014	-382.688	390.412
89.122	-387.829	394.408
91.005	-390.111	397.736
90.876	-394.366	401.069
90.758	-398.173	404.067
90.608	-401.545	406.803
90.593	-404.380	409.056
90.804	-406.428	410.880
90.849	-408.274	412.410
90.715	-409.788	413.621
90.687	-410.587	414.387
90.842	-410.756	414.648
90.764	-410.688	414.595
90.926	-410.094	413.963
90.751	-409.154	413.116
90.879	-407.384	411.775
90.780	-405.642	410.063
90.812	-403.100	407.939
90.769	-400.200	405.547
90.873	-396.677	402.707
90.714	-392.820	399.656
90.884	-388.393	396.079
90.782	-383.616	392.300
89.283	-380.087	388.450
88.961	-374.679	383.986
88.973	-368.392	379.317
88.808	-361.624	374.421
88.649	-354.382	369.355
88.503	-346.635	364.027
88.431	-338.262	358.511
88.321	-329.291	352.812
88.305	-319.866	346.982
88.260	-309.829	341.083
88.175	-299.283	335.074
88.194	-288.228	329.018
88.128	-276.629	323.094
88.170	-264.628	317.101
88.054	-252.123	311.271
88.054	-239.098	305.537
88.074	-225.704	299.836
88.044	-211.900	294.296
88.113	-197.513	289.021
88.295	-182.756	284.016
88.455	-167.676	279.140
88.543	-152.083	274.645
88.571	-136.185	270.403
88.558	-119.983	266.468
88.602	-103.530	262.873
88.717	-86.596	259.759
88.861	-69.590	256.853
87.899	-50.384	255.269
87.868	-32.968	253.321
87.847	-15.246	251.810
87.789	2.446	250.898
87.768	20.252	250.256
87.818	37.711	250.080
87.702	55.439	250.244
87.661	72.999	250.907
87.823	90.456	252.059
88.008	107.867	253.535
87.864	125.305	255.598
87.842	142.281	257.934
87.860	159.294	260.821
88.021	175.841	263.939
88.167	192.341	267.466
88.323	208.359	271.330
88.426	223.991	275.569
88.522	239.240	279.897
88.585	254.256	284.710
88.646	268.795	289.671
88.767	282.896	294.852
88.696	296.592	300.146
88.658	309.822	305.684
88.688	322.575	311.342
88.847	334.920	317.042
89.045	346.761	322.827
89.217	358.128	328.653
89.285	369.036	334.530
89.298	379.403	340.333
89.340	389.336	346.038
89.442	398.640	351.734
89.473	407.483	357.296
89.513	415.764	362.750
89.542	423.551	367.928
89.592	430.798	372.986
89.658	437.538	377.739
89.704	443.768	382.295
89.732	449.455	386.698
89.735	454.746	390.764
89.789	459.533	394.525
89.902	463.806	397.912
89.947	467.707	400.957
89.979	471.067	403.742
89.982	474.070	406.014
90.002	476.543	407.975
90.009	478.567	409.610
91.147	479.109	410.002
90.172	481.171	411.791
90.203	481.787	412.342
90.246	481.851	412.443
90.148	481.526	412.273
90.101	480.773	411.423
90.170	479.447	410.353
90.140	477.774	408.918
