FILE_VERSION	2.0.0
NO_OF_FRAMES	1000
NO_OF_CAMERAS	2
NO_OF_MARKERS	1
FREQUENCY	100
DESCRIPTION	--
TIME_STAMP	2025-10-16, 12:24:58.083	116297.60188100
DATA_INCLUDED	3D
MARKER_NAMES	New 0001
TRAJECTORY_TYPES	Measured
104.234	-83.280	502.910
104.220	-93.084	505.948
104.166	-102.482	509.073
104.217	-111.473	512.185
104.166	-120.107	515.485
104.153	-128.349	518.752
104.138	-136.237	522.078
104.076	-143.693	525.391
104.076	-150.812	528.778
104.000	-157.527	532.030
104.017	-163.875	535.287
103.940	-169.811	538.460
103.904	-175.374	541.436
103.855	-180.510	544.387
103.835	-185.159	547.124
103.779	-189.431	549.697
103.713	-193.226	551.988
103.717	-196.596	554.062
103.673	-199.511	555.941
103.636	-201.960	557.513
103.559	-204.017	558.838
103.588	-205.635	559.862
103.558	-206.837	560.627
103.519	-207.587	561.158
103.538	-207.968	561.381
103.512	-207.957	561.346
103.497	-207.492	561.105
103.484	-206.696	560.514
103.511	-205.457	559.727
103.503	-203.795	558.612
103.515	-201.769	557.261
103.557	-199.293	555.668
103.600	-196.384	553.889
103.598	-193.048	551.719
103.617	-189.263	549.410
103.666	-185.000	546.833
103.699	-180.357	544.133
103.733	-175.241	541.262
103.766	-169.694	538.142
103.823	-163.742	534.987
103.877	-157.378	531.720
103.895	-150.608	528.439
103.928	-143.457	525.084
103.999	-135.952	521.724
104.018	-128.058	518.342
104.056	-119.848	515.084
104.106	-111.216	511.809
104.157	-102.232	508.705
104.178	-92.905	505.586
104.195	-83.225	502.589
104.248	-73.187	499.808
104.271	-62.820	497.132
104.276	-52.206	494.718
104.307	-41.356	492.486
104.294	-30.277	490.492
104.312	-19.038	488.823
104.328	-7.677	487.354
104.341	3.770	486.184
104.344	15.322	485.372
104.281	26.880	484.829
104.271	38.531	484.556
104.213	50.189	484.616
104.086	61.835	484.872
104.119	73.443	485.584
104.012	85.031	486.468
104.020	96.539	487.717
103.874	107.868	489.275
103.861	119.062	491.075
103.767	129.958	493.195
103.658	140.662	495.419
103.606	151.012	497.962
103.507	161.109	500.651
103.482	170.910	503.436
103.330	180.359	506.485
103.317	189.494	509.549
103.223	198.310	512.732
103.155	206.788	516.074
102.961	214.976	519.320
102.891	222.728	522.745
102.860	230.138	526.125
102.754	237.147	529.479
102.730	243.751	532.763
102.666	249.919	535.984
102.629	255.626	539.095
102.488	260.944	542.052
102.477	265.769	544.875
102.435	270.178	547.506
102.414	274.161	549.934
102.364	277.760	552.104
102.335	280.925	554.128
102.334	283.672	555.926
102.259	286.046	557.461
102.270	288.034	558.758
102.264	289.610	559.837
102.294	290.816	560.638
102.265	291.619	561.165
102.278	292.018	561.425
102.318	292.007	561.404
102.317	291.558	561.086
102.325	290.696	560.513
102.364	289.400	559.651
102.405	287.714	558.482
102.412	285.556	557.079
102.442	282.998	555.426
102.483	280.058	553.492
102.524	276.663	551.375
102.570	272.865	549.052
102.619	268.686	546.502
102.683	264.091	543.835
102.716	259.104	540.986
102.769	253.718	538.023
102.838	247.924	534.946
102.869	241.756	531.774
102.946	235.139	528.567
102.990	228.165	525.228
103.074	220.754	521.940
103.114	212.941	518.622
103.167	204.722	515.327
103.236	196.136	512.058
103.303	187.182	508.872
103.370	177.879	505.798
103.410	168.238	502.916
103.479	158.327	500.146
103.564	148.180	497.569
103.605	137.765	495.159
103.679	127.161	492.996
103.758	116.348	491.037
103.786	105.317	489.288
103.836	94.130	487.889
103.897	82.809	486.672
103.930	71.329	485.857
103.970	59.771	485.222
103.947	48.157	484.972
103.995	36.505	485.007
104.015	24.856	485.341
104.070	13.320	485.909
104.067	1.858	486.832
104.039	-9.485	487.969
104.096	-20.623	489.442
104.063	-31.590	491.172
104.127	-42.379	493.046
104.122	-52.949	495.242
104.156	-63.249	497.630
104.128	-73.354	500.247
104.135	-83.186	502.965
104.117	-92.737	505.904
104.100	-101.960	508.910
104.086	-110.833	512.042
104.072	-119.368	515.293
104.048	-127.501	518.476
104.026	-135.257	521.707
103.973	-142.604	524.975
103.970	-149.540	528.180
103.913	-156.038	531.355
103.911	-162.144	534.434
103.880	-167.823	537.378
103.837	-173.133	540.263
103.798	-178.010	542.981
103.773	-182.455	545.477
103.756	-186.494	547.871
103.703	-190.167	550.065
103.716	-193.439	552.056
103.694	-196.282	553.848
103.672	-198.688	555.369
103.662	-200.646	556.669
